Scientific Name,Common Name,EPBC Threat Status,EPBC Threatened Species Listed Name,EPBC Threatened Species Date Effective,Kingdom,Phylum,Class,Order,Family,Genus
Acacia macnuttiana,McNutt's Wattle,Vulnerable,Acacia macnuttiana,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia meiantha, ,Endangered,Acacia meiantha,11-May-18,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia menzelii,Menzel's Wattle,Vulnerable,Acacia menzelii,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia peuce,"Waddy, Waddi, Waddy-wood, Birdsville Wattle",Vulnerable,Acacia peuce,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia pharangites,Wongan Gully Wattle,Endangered,Acacia pharangites,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia phasmoides,Phantom Wattle,Vulnerable,Acacia phasmoides,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia pickardii,Birds Nest Wattle,Vulnerable,Acacia pickardii,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia pinguifolia,"Fat-leaved Wattle,  Fat-leaf Wattle",Endangered,Acacia pinguifolia,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia porcata, ,Endangered,Acacia porcata,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia praemorsa,Senna Wattle,Vulnerable,Acacia praemorsa,24-Dec-09,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia praetermissa,a shrub,Vulnerable,Acacia praetermissa,18-Aug-06,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia prismifolia,Diels' Wattle,Extinct,Acacia prismifolia,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia pubescens,"Downy Wattle, Hairy Stemmed Wattle",Vulnerable,Acacia pubescens,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia pubifolia,Velvet Wattle,Vulnerable,Acacia pubifolia,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia purpureopetala,Purple-flowered Wattle,Critically Endangered,Acacia purpureopetala,24-Jan-14,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia pycnostachya,Bolivia Wattle,Vulnerable,Acacia pycnostachya,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia pygmaea,Dwarf Rock Wattle,Endangered,Acacia pygmaea,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia recurvata,Recurved Wattle,Endangered,Acacia recurvata,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia rhamphophylla,Kundip Wattle,Endangered,Acacia rhamphophylla,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia rhetinocarpa,"Neat Wattle, Resin Wattle (SA)",Vulnerable,Acacia rhetinocarpa,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
Acacia ruppii,Rupp's Wattle,Endangered,Acacia ruppii,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia
