,Species,Common_Name,Category,Presence_Type,Kingdom,Phylum,Class,Order,Family,Location 1,Location 2,Location 3,Location 4,Location 5,Location 6,Location 7,Location 8,Location 9,Location 10,Location 11,Location 12,Location 13,Location 14,Location 15,Location 16,
74,Acacia unguicula,a shrub,Critically Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
75,Acacia vassalii,Vassal's Wattle,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
76,Acacia volubilis,"Tangled Wattle, Tangle Wattle",Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
77,Acacia whibleyana,"Whibley Wattle, Whibley's Wattle",Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,SA,,,,,,,,,,,,,,,,
78,Acacia wilsonii,Wilson's Wattle,Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
79,Acacia woodmaniorum,Woodman's Wattle,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
80,Acanthiza iredalei rosinae,Slender-billed Thornbill (Gulf St Vincent),Vulnerable,Present,Animalia,Chordata,Aves,Passeriformes,Pardalotidae,SA,,,,,,,,,,,,,,,,
81,Acanthiza pusilla archibaldi,"King Island Brown Thornbill, Brown Thornbill (King Island)",Endangered,Endemic,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,TAS,,,,,,,,,,,,,,,,
82,Acanthocladium dockeri,"Spiny Everlasting, Spiny Daisy",Critically Endangered,Extinct,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,NSW,,,,,,,,,,,,,,,,
83,Acanthocladium dockeri,"Spiny Everlasting, Spiny Daisy",Critically Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,SA,,,,,,,,,,,,,,,,
84,Acanthophis hawkei,Plains Death Adder,Vulnerable,Present,Animalia,Chordata,Reptilia,Squamata,Elapidae,NT, QLD, WA,,,,,,,,,,,,,,
85,Acanthornis magna greeniana,"King Island Scrubtit, Scrubtit (King Island)",Critically Endangered,Endemic,Animalia,Chordata,Aves,Passeriformes,Pardalotidae,TAS,,,,,,,,,,,,,,,,
86,Accipiter hiogaster natalis,Christmas Island Goshawk,Endangered,Endemic,Animalia,Chordata,Aves,Falconiformes,Accipitridae,AET, CI,,,,,,,,,,,,,,,
87,Achyranthes arborescens,"Chaff Tree, Soft-wood",Critically Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,AET, NI,,,,,,,,,,,,,,,
88,Achyranthes margaretarum,Phillip Island Chaffy Tree,Critically Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,AET, NI,,,,,,,,,,,,,,,
89,Acianthus ledwardii,,Extinct,Extinct,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,QLD,,,,,,,,,,,,,,,,
90,Acriopsis emarginata,Pale Chandelier Orchid,Vulnerable,Endemic,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,QLD,,,,,,,,,,,,,,,,
91,Acronychia littoralis,Scented Acronychia,Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,NSW, QLD,,,,,,,,,,,,,,,
92,Acrophyllum australe,,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Cunoniaceae,NSW,,,,,,,,,,,,,,,,
93,Actephila foetida,,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae,QLD,,,,,,,,,,,,,,,,
94,Actinotus schwarzii,Desert Flannel-flower,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,NT,,,,,,,,,,,,,,,,
95,Adclarkia cameroni,Brigalow Woodland Snail,Endangered,Present,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,QLD,,,,,,,,,,,,,,,,
96,Adclarkia dawsonensis,"Boggomoss Snail, Dawson River Snail, Dawson Valley Snail",Critically Endangered,Endemic,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,QLD,,,,,,,,,,,,,,,,
97,Adclarkia dulacca,Dulacca Woodland Snail,Endangered,Present,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,QLD,,,,,,,,,,,,,,,,
98,Adenanthos dobagii,Fitzgerald Woollybush,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,WA,,,,,,,,,,,,,,,,
99,Adenanthos ellipticus,Oval-leaf Adenanthos,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,WA,,,,,,,,,,,,,,,,
100,Adenanthos eyrei,Toolinna Adenanthos,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,WA,,,,,,,,,,,,,,,,
101,Adenanthos pungens subsp. effusus,Sprawling Spiky Adenanthos,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,WA,,,,,,,,,,,,,,,,
102,Adenanthos pungens subsp. pungens,Spiky Adenanthos,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,WA,,,,,,,,,,,,,,,,
103,Adenanthos velutinus,Velvet Woollybush,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,WA,,,,,,,,,,,,,,,,
104,Advena campbellii,Campbell's Helicarionid Land Snail,Critically Endangered,Present,Animalia,Mollusca,Gastropoda,Pulmonata,Helicarionidae,AET, NI,,,,,,,,,,,,,,,
105,Aipysurus apraefrontalis,Short-nosed Seasnake,Critically Endangered,Present,Animalia,Chordata,Reptilia,Squamata,Hydrophiidae,ACR, OCE, WA,,,,,,,,,,,,,,
106,Aipysurus foliosquama,Leaf-scaled Seasnake,Critically Endangered,Present,Animalia,Chordata,Reptilia,Squamata,Hydrophiidae,ACR, OCE, WA,,,,,,,,,,,,,,
107,Alectryon ramiflorus,Isis Tamarind,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,QLD,,,,,,,,,,,,,,,,
108,Allocasuarina defungens,Dwarf Heath Casuarina,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,NSW,,,,,,,,,,,,,,,,
109,Allocasuarina emuina,"Emu Mountain Sheoak, Mt Emu She-oak",Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,QLD,,,,,,,,,,,,,,,,
110,Allocasuarina fibrosa,Woolly Sheoak,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,WA,,,,,,,,,,,,,,,,
111,Allocasuarina glareicola,,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,NSW,,,,,,,,,,,,,,,,
112,Allocasuarina portuensis,Nielsen Park She-oak,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,NSW,,,,,,,,,,,,,,,,
113,Allocasuarina robusta,Mount Compass Oak-bush,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,SA,,,,,,,,,,,,,,,,
114,Allocasuarina simulans,Nabiac Casuarina,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,NSW,,,,,,,,,,,,,,,,
115,Allocasuarina thalassoscopica,,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,QLD,,,,,,,,,,,,,,,,
116,Allocasuarina thalassoscopica,,Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,NSW,,,,,,,,,,,,,,,,
117,Allocasuarina tortiramula,Twisted Sheoak,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,WA,,,,,,,,,,,,,,,,
118,Alloxylon flammeum,"Red Silky Oak, Queensland Waratah, Tree Waratah",Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,QLD,,,,,,,,,,,,,,,,
119,Almaleea cambagei,Torrington Pea,Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,NSW, QLD,,,,,,,,,,,,,,,
120,Ammobium craspedioides,Yass Daisy,Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,ACT, NSW,,,,,,,,,,,,,,,
121,Amperea xiphoclada var. pedicellata,,Extinct,Extinct,Plantae,Magnoliophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae,NSW,,,,,,,,,,,,,,,,
122,Amphibromus fluitans,"River Swamp Wallaby-grass, Floating Swamp Wallaby-grass",Vulnerable,Present,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,NSW, SA, TAS, VIC,,,,,,,,,,,,,
123,Amphibromus whitei,,Extinct,Extinct,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,QLD,,,,,,,,,,,,,,,,
124,Amyema plicatula,,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Santalales,Loranthaceae,NSW,,,,,,,,,,,,,,,,
125,Amyema plicatula,,Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Santalales,Loranthaceae,QLD,,,,,,,,,,,,,,,,
126,Amytornis barbatus barbatus,"Bulloo Grey Grasswren, Grey Grasswren (Bulloo)",Endangered,Present,Animalia,Chordata,Aves,Passeriformes,Maluridae,NSW, QLD, SA,,,,,,,,,,,,,,
127,Amytornis dorotheae,Carpentarian Grasswren,Endangered,Present,Animalia,Chordata,Aves,Passeriformes,Maluridae,NT, QLD,,,,,,,,,,,,,,,
128,Amytornis merrotsyi merrotsyi,Short-tailed Grasswren (Flinders Ranges),Vulnerable,Present,Animalia,Chordata,Aves,Passeriformes,Maluridae,SA,,,,,,,,,,,,,,,,
129,Amytornis merrotsyi pedleri,"Gawler Ranges Short-tailed Grasswren, Short-tailed Grasswren (Gawler Ranges)",Endangered,Present,Animalia,Chordata,Aves,Passeriformes,Maluridae,SA,,,,,,,,,,,,,,,,
130,Amytornis modestus,Thick-billed Grasswren,Vulnerable,Present,Animalia,Chordata,Aves,Passeriformes,Maluridae,NSW, NT, SA,,,,,,,,,,,,,,
131,Amytornis modestus obscurior,"Grey Range Thick-billed Grasswren, Thick-billed Grasswren (north-west NSW)",Critically Endangered,Present,Animalia,Chordata,Aves,Passeriformes,Maluridae,NSW,,,,,,,,,,,,,,,,
132,Amytornis textilis myall,Western Grasswren (Gawler Ranges),Vulnerable,Endemic,Animalia,Chordata,Aves,Passeriformes,Maluridae,SA,,,,,,,,,,,,,,,,
133,Amytornis woodwardi,"White-throated Grasswren, Yirlinkirrkirr",Vulnerable,Present,Animalia,Chordata,Aves,Passeriformes,Maluridae,NT,,,,,,,,,,,,,,,,
134,Andersonia annelsii,,Critically Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae,WA,,,,,,,,,,,,,,,,
