,Species,Common_Name,Category,Presence_Type,Kingdom,Phylum,Class,Order,Family,Location 1,Location 2,Location 3,Location 4,Location 5,Location 6,Location 7,Location 8,Location 9,Location 10,Location 11,Location 12,Location 13,Location 14,Location 15,Location 16,
1051,Lagorchestes hirsutus Central Australian subspecies,"Mala, Rufous Hare-Wallaby (Central Australia)",Endangered,Endemic,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,NT,,,,,,,,,,,,,,,,
1052,Lagorchestes hirsutus Central Australian subspecies,"Mala, Rufous Hare-Wallaby (Central Australia)",Endangered,Present,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,WA,,,,,,,,,,,,,,,,
1053,Lagorchestes hirsutus bernieri,Rufous Hare-wallaby (Bernier Island),Vulnerable,Endemic,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,WA,,,,,,,,,,,,,,,,
1054,Lagorchestes hirsutus dorreae,Rufous Hare-wallaby (Dorre Island),Vulnerable,Endemic,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,WA,,,,,,,,,,,,,,,,
1055,Lagorchestes hirsutus hirsutus,"Rufous Hare-wallaby (south-western), Woorap",Extinct,Extinct,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,NT, SA, WA,,,,,,,,,,,,,,
1056,Lagorchestes leporides,Eastern Hare-wallaby,Extinct,Extinct,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,NSW, QLD, SA, VIC,,,,,,,,,,,,,
1057,Lagostrophus fasciatus albipilis,Banded Hare-wallaby (mainland),Extinct,Extinct,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,WA,,,,,,,,,,,,,,,,
1058,Lagostrophus fasciatus fasciatus,"Banded Hare-wallaby, Merrnine, Marnine, Munning ",Vulnerable,Endemic,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,WA,,,,,,,,,,,,,,,,
1059,Lalage leucopyga leucopyga,Norfolk Island Long-tailed Triller,Extinct,Extinct,Animalia,Chordata,Aves,Passeriformes,Campephagidae,AET,,,,,,,,,,,,,,,,
1060,Lambertia echinata subsp. echinata,Prickly Honeysuckle,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,WA,,,,,,,,,,,,,,,,
1061,Lambertia echinata subsp. occidentalis,Western Prickly Honeysuckle,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,WA,,,,,,,,,,,,,,,,
1062,Lambertia fairallii,Fairall's Honeysuckle,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,WA,,,,,,,,,,,,,,,,
1063,Lambertia orbifolia,Roundleaf Honeysuckle,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,WA,,,,,,,,,,,,,,,,
1064,Lasiopetalum joyceae,,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Sterculiaceae,NSW,,,,,,,,,,,,,,,,
1065,Lasiopetalum longistamineum,,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Sterculiaceae,NSW,,,,,,,,,,,,,,,,
1066,Lasiopetalum pterocarpum,Wing-fruited Lasiopetalum,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Sterculiaceae,WA,,,,,,,,,,,,,,,,
1067,Lasiopetalum rotundifolium,Round-leaf Lasiopetalum,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Sterculiaceae,WA,,,,,,,,,,,,,,,,
1068,Lasiopetalum sp. Proston (J.A.Baker 17),Proston Lasiopetalum,Critically Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Sterculiaceae,QLD,,,,,,,,,,,,,,,,
1069,Lasiorhinus krefftii,"Northern Hairy-nosed Wombat, Yaminon",Critically Endangered,Endemic,Animalia,Chordata,Mammalia,Diprotodonta,Vombatidae,QLD,,,,,,,,,,,,,,,,
1070,Lasiorhinus krefftii,"Northern Hairy-nosed Wombat, Yaminon",Critically Endangered,Present,Animalia,Chordata,Mammalia,Diprotodonta,Vombatidae,NSW,,,,,,,,,,,,,,,,
1071,Lastreopsis calantha,"Shield-fern, Shieldfern",Endangered,Endemic,Plantae,Polypodiophyta,Polypodiatae,Aspidiales,Dryopteridaceae,AET, NI,,,,,,,,,,,,,,,
1072,Lastreopsis walleri,a fern,Vulnerable,Endemic,Plantae,Polypodiophyta,Polypodiatae,Aspidiales,Dryopteridaceae,QLD,,,,,,,,,,,,,,,,
1073,Lathamus discolor,Swift Parrot,Critically Endangered,Present,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,ACT, NSW, OCE, QLD, SA, TAS, TER, VIC,,,,,,,,,
1074,Latrobea colophona,,Critically Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
1075,Lawrencia buchananensis,,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,QLD,,,,,,,,,,,,,,,,
1076,Lechenaultia chlorantha,Kalbarri Leschenaultia,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Campanulales,Goodeniaceae,WA,,,,,,,,,,,,,,,,
1077,Lechenaultia laricina,Scarlet Leschenaultia,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Campanulales,Goodeniaceae,WA,,,,,,,,,,,,,,,,
1078,Leiocarpa gatesii,Wrinkled Buttons,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,VIC,,,,,,,,,,,,,,,,
1079,Leionema equestre,Kangaroo Island Phebalium,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,SA,,,,,,,,,,,,,,,,
1080,Leionema lachnaeoides,,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,NSW,,,,,,,,,,,,,,,,
1081,Leionema obtusifolium,,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,QLD,,,,,,,,,,,,,,,,
1082,Leionema ralstonii,,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,NSW,,,,,,,,,,,,,,,,
1083,Leionema sympetalum,Rylstone Bell,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,NSW,,,,,,,,,,,,,,,,
1084,Leioproctus douglasiellus,a short-tongued bee,Critically Endangered,Endemic,Animalia,Arthropoda,Insecta,Hymenoptera,Colletidae,WA,,,,,,,,,,,,,,,,
1085,Leipoa ocellata,Malleefowl,Vulnerable,Present,Animalia,Chordata,Aves,Galliformes,Megapodiidae,NSW, NT, SA, VIC, WA,,,,,,,,,,,,
1086,Lemmaphyllum accedens,,Extinct,Extinct,Plantae,Polypodiophyta,Polypodiatae,Polypodiales,Polypodiaceae,QLD,,,,,,,,,,,,,,,,
1087,Lepidium aschersonii,Spiny Pepper-cress,Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Capparales,Brassicaceae,NSW, VIC, WA,,,,,,,,,,,,,,
1088,Lepidium drummondii,Drummond's Lepidium,Extinct,Extinct,Plantae,Magnoliophyta,Magnoliopsida,Capparales,Brassicaceae,WA,,,,,,,,,,,,,,,,
1089,Lepidium ginninderrense,Ginninderra Peppercress,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Capparales,Brassicaceae,ACT,,,,,,,,,,,,,,,,
1090,Lepidium hyssopifolium,"Basalt Pepper-cress, Peppercress, Rubble Pepper-cress, Pepperweed",Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Capparales,Brassicaceae,ACT, NSW, QLD, TAS, VIC,,,,,,,,,,,,
1091,Lepidium monoplocoides,Winged Pepper-cress,Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Capparales,Brassicaceae,NSW, QLD, SA, VIC,,,,,,,,,,,,,
1092,Lepidium peregrinum,Wandering Pepper-cress,Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Capparales,Brassicaceae,NSW, QLD,,,,,,,,,,,,,,,
1093,Lepidium pseudopapillosum,Erect Pepper-cress,Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Capparales,Brassicaceae,NSW, SA, VIC,,,,,,,,,,,,,,
1094,Lepidochelys olivacea,"Olive Ridley Turtle, Pacific Ridley Turtle",Endangered,Present,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,ACR, CI, CKI, CSI, NSW, NT, OCE, QLD, WA,,,,,,,,
1095,Lepidodactylus listeri,"Christmas Island Gecko, Lister's Gecko",Critically Endangered,Endemic,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,AET, CI,,,,,,,,,,,,,,,
1096,Lepidorrhachis mooreana,"Little Mountain Palm, Moorei Palm",Critically Endangered,Present,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,NSW,,,,,,,,,,,,,,,,
1097,Lepidosperma rostratum,Beaked Lepidosperma,Endangered,Endemic,Plantae,Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,WA,,,,,,,,,,,,,,,,
1098,Leporillus apicalis,"Lesser Stick-nest Rat,Tjooyalpi, White-tailed Stick-nest Rat",Extinct,Extinct,Animalia,Chordata,Mammalia,Rodentia,Muridae,NSW, NT, SA, VIC, WA,,,,,,,,,,,,
1099,Leporillus conditor,"Wopilkara, Greater Stick-nest Rat",Vulnerable,Present,Animalia,Chordata,Mammalia,Rodentia,Muridae,NSW, SA, WA,,,,,,,,,,,,,,
1100,Leptomeria dielsiana,Diels' Currant Bush,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Santalales,Santalaceae,WA,,,,,,,,,,,,,,,,
1101,Leptospermum deanei,Deane's Tea-tree,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,NSW,,,,,,,,,,,,,,,,
1102,Leptospermum thompsonii,Monga Tea-tree,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,NSW,,,,,,,,,,,,,,,,
1103,Lerista allanae,"Allan's Lerista, Retro Slider",Endangered,Endemic,Animalia,Chordata,Reptilia,Squamata,Scincidae,QLD,,,,,,,,,,,,,,,,
1104,Lerista nevinae,Nevin's Slider,Endangered,Present,Animalia,Chordata,Reptilia,Squamata,Scincidae,WA,,,,,,,,,,,,,,,,
1105,Lerista vittata,"Mount Cooper Striped Skink, Mount Cooper Striped Lerista",Vulnerable,Endemic,Animalia,Chordata,Reptilia,Squamata,Scincidae,QLD,,,,,,,,,,,,,,,,
1106,Leucocarbo atriceps nivalis,"Imperial Shag (Heard Island), Heard Shag",Vulnerable,Endemic,Animalia,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,AET,,,,,,,,,,,,,,,,
1107,Leucocarbo atriceps purpurascens,Imperial Shag (Macquarie Island),Vulnerable,Endemic,Animalia,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,AET,,,,,,,,,,,,,,,,
1108,Leucocarbo atriceps purpurascens,Imperial Shag (Macquarie Island),Vulnerable,Present,Animalia,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,TAS,,,,,,,,,,,,,,,,
1109,Leucochrysum albicans subsp. tricolor,"Hoary Sunray, Grassland Paper-daisy",Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,ACT, NSW, TAS, VIC,,,,,,,,,,,,,
1110,Leucopogon confertus,Torrington Beard-heath,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,NSW,,,,,,,,,,,,,,,,
1111,Leucopogon cryptanthus,Small-flowered Leucopogon,Extinct,Extinct,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,WA,,,,,,,,,,,,,,,,
1112,Leucopogon exolasius,Woronora Beard-heath,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,NSW,,,,,,,,,,,,,,,,
1113,Leucopogon gnaphalioides,Stirling Range Beard Heath,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,WA,,,,,,,,,,,,,,,,
1114,Leucopogon marginatus,Thick-margined Leucopogon,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,WA,,,,,,,,,,,,,,,,
1115,Leucopogon nitidus,,Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae,WA,,,,,,,,,,,,,,,,
1116,Leucopogon obtectus,Hidden Beard-heath,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,WA,,,,,,,,,,,,,,,,
1117,Leucopogon sp. Coolmunda (D.Halford Q1635),,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,QLD,,,,,,,,,,,,,,,,
1118,"Leucopogon sp. Flynn (F.Hort, J.Hort & A.Lowrie 859)",,Critically Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae,WA,,,,,,,,,,,,,,,,
1119,Leucopogon sp. Ongerup (A.S. George 16682),,Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,WA,,,,,,,,,,,,,,,,
1120,Leucopogon spectabilis,Ironstone Beard-heath,Critically Endangered,Present,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,WA,,,,,,,,,,,,,,,,
1121,Lewinia pectoralis clelandi,"Western Australian Lewin's Rail, Lewin's Rail (western)",Extinct,Extinct,Animalia,Chordata,Aves,Gruiformes,Rallidae,WA,,,,,,,,,,,,,,,,
1122,Liasis olivaceus barroni,Olive Python (Pilbara subspecies),Vulnerable,Endemic,Animalia,Chordata,Reptilia,Squamata,Boidae,WA,,,,,,,,,,,,,,,,
1123,Lichenostomus melanops cassidix,"Helmeted Honeyeater, Yellow-tufted Honeyeater (Helmeted)",Critically Endangered,Endemic,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,VIC,,,,,,,,,,,,,,,,
1124,Limonium australe var. baudinii,Baudin's Sea-lavender,Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Plumbaginales,Plumbaginaceae,TAS,,,,,,,,,,,,,,,,
1125,Limosa lapponica baueri,"Bar-tailed Godwit (baueri), Western Alaskan Bar-tailed Godwit",Vulnerable,Present,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,NSW, NT, QLD, SA, TAS, VIC, WA,,,,,,,,,,
1126,Limosa lapponica menzbieri,"Northern Siberian Bar-tailed Godwit, Bar-tailed Godwit (menzbieri)",Critically Endangered,Present,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,NSW, NT, QLD, SA, TAS, VIC, WA,,,,,,,,,,
1127,Limosella granitica,Granite Mudwort,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,SA,,,,,,,,,,,,,,,,
1128,Lindsaea pulchella var. blanda,,Vulnerable,Endemic,Plantae,Polypodiophyta,Polypodiatae,Dicksoniales,Lindsaeaceae,QLD,,,,,,,,,,,,,,,,
1129,Liopholis guthega,Guthega Skink,Endangered,Present,Animalia,Chordata,Reptilia,Squamata,Scincidae,NSW, VIC,,,,,,,,,,,,,,,
1130,Liopholis kintorei,"Great Desert Skink, Tjakura, Warrarna, Mulyamiji",Vulnerable,Present,Animalia,Chordata,Reptilia,Squamata,Scincidae,NT, SA, WA,,,,,,,,,,,,,,
1131,Liopholis pulchra longicauda,"Jurien Bay Skink, Jurien Bay Rock-skink",Vulnerable,Present,Animalia,Chordata,Reptilia,Squamata,Scincidae,WA,,,,,,,,,,,,,,,,
1132,Liopholis slateri slateri,"Slater's Skink, Floodplain Skink",Endangered,Endemic,Animalia,Chordata,Reptilia,Squamata,Scincidae,NT,,,,,,,,,,,,,,,,
1133,Lissotes latidens,"Broad-toothed Stag Beetle, Wielangta Stag Beetle",Endangered,Endemic,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,TAS,,,,,,,,,,,,,,,,
1134,Litoria aurea,Green and Golden Bell Frog,Vulnerable,Extinct,Animalia,Chordata,Amphibia,Anura,Hylidae,ACT,,,,,,,,,,,,,,,,
1135,Litoria aurea,Green and Golden Bell Frog,Vulnerable,Present,Animalia,Chordata,Amphibia,Anura,Hylidae,NSW, TER, VIC,,,,,,,,,,,,,,
1136,Litoria booroolongensis,Booroolong Frog,Endangered,Present,Animalia,Chordata,Amphibia,Anura,Hylidae,ACT, NSW, VIC,,,,,,,,,,,,,,
1137,Litoria castanea,"Yellow-spotted Tree Frog, Yellow-spotted Bell Frog",Critically Endangered,Present,Animalia,Chordata,Amphibia,Anura,Hylidae,ACT, NSW,,,,,,,,,,,,,,,
1138,Litoria dayi,"Australian Lace-lid, Lace-eyed Tree Frog, Day's Big-eyed Treefrog",Vulnerable,Endemic,Animalia,Chordata,Amphibia,Anura,Hylidae,QLD,,,,,,,,,,,,,,,,
1139,Litoria kroombitensis,Kroombit Treefrog,Critically Endangered,Present,Animalia,Chordata,Amphibia,Anura,Hylidae,QLD,,,,,,,,,,,,,,,,
1140,Litoria littlejohni,"Littlejohn's Tree Frog,  Heath Frog",Vulnerable,Present,Animalia,Chordata,Amphibia,Anura,Hylidae,NSW, TER, VIC,,,,,,,,,,,,,,
1141,Litoria lorica,Armoured Mistfrog,Critically Endangered,Endemic,Animalia,Chordata,Amphibia,Anura,Hylidae,QLD,,,,,,,,,,,,,,,,
1142,Litoria myola,Kuranda Tree Frog,Critically Endangered,Present,Animalia,Chordata,Amphibia,Anura,Hylidae,QLD,,,,,,,,,,,,,,,,
1143,Litoria nannotis,"Waterfall Frog, Torrent Tree Frog",Endangered,Endemic,Animalia,Chordata,Amphibia,Anura,Hylidae,QLD,,,,,,,,,,,,,,,,
1144,Litoria nyakalensis,"Mountain Mistfrog, Nyakala Frog",Critically Endangered,Endemic,Animalia,Chordata,Amphibia,Anura,Hylidae,QLD,,,,,,,,,,,,,,,,
1145,Litoria olongburensis,Wallum Sedge Frog,Vulnerable,Present,Animalia,Chordata,Amphibia,Anura,Hylidae,NSW, QLD,,,,,,,,,,,,,,,
1146,Litoria piperata,Peppered Tree Frog,Vulnerable,Endemic,Animalia,Chordata,Amphibia,Anura,Hylidae,NSW,,,,,,,,,,,,,,,,
1147,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",Vulnerable,Present,Animalia,Chordata,Amphibia,Anura,Hylidae,ACT, NSW, SA, TAS, VIC,,,,,,,,,,,,
1148,Litoria rheocola,Common Mistfrog,Endangered,Endemic,Animalia,Chordata,Amphibia,Anura,Hylidae,QLD,,,,,,,,,,,,,,,,
1149,Litoria spenceri,Spotted Tree Frog,Endangered,Present,Animalia,Chordata,Amphibia,Anura,Hylidae,NSW, VIC,,,,,,,,,,,,,,,
1150,Litoria verreauxii alpina,"Alpine Tree Frog, Verreaux's Alpine Tree Frog",Vulnerable,Present,Animalia,Chordata,Amphibia,Anura,Hylidae,ACT, NSW, VIC,,,,,,,,,,,,,,
1151,Livistona lanuginosa,Waxy Cabbage Palm,Vulnerable,Endemic,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,QLD,,,,,,,,,,,,,,,,
1152,Livistona mariae subsp. mariae,"Central Australian Cabbage Palm, Red Cabbage Palm",Endangered,Endemic,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,NT,,,,,,,,,,,,,,,,
1153,Lobelia gelida,,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Campanulales,Campanulaceae,VIC,,,,,,,,,,,,,,,,
1154,Logania diffusa,,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Loganiaceae,QLD,,,,,,,,,,,,,,,,
1155,Logania insularis,Kangaroo Island Logania,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Loganiaceae,SA,,,,,,,,,,,,,,,,
1156,Lomatia tasmanica,King's Lomatia,Critically Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,TAS,,,,,,,,,,,,,,,,
1157,Lucasium occultum,"Yellow-snouted Gecko, Yellow-snouted Ground Gecko",Endangered,Endemic,Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,NT,,,,,,,,,,,,,,,,
1158,Lychnothamnus barbatus,a green alga,Endangered,Endemic,Plantae,Streptophyta,Streptophyta (no class),Charales,Characeae,QLD,,,,,,,,,,,,,,,,
1159,Lycopodium volubile,,Extinct,Extinct,Plantae,Lycopodiophyta,Lycopodopiatae,Lycopodiales,Lycopodiaceae,QLD,,,,,,,,,,,,,,,,
1160,Lysiosepalum abollatum,Woolly Lysiosepalum,Critically Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Sterculiaceae,WA,,,,,,,,,,,,,,,,
1161,Macadamia integrifolia,"Macadamia Nut, Queensland Nut Tree, Smooth-shelled Macadamia, Bush Nut, Nut Oak",Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,NSW, QLD,,,,,,,,,,,,,,,
1162,Macadamia jansenii,"Bulberin Nut, Bulburin Nut Tree",Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,QLD,,,,,,,,,,,,,,,,
1163,Macadamia ternifolia,"Small-fruited Queensland Nut, Gympie Nut",Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,QLD,,,,,,,,,,,,,,,,
1164,Macadamia tetraphylla,"Rough-shelled Bush Nut, Macadamia Nut, Rough-shelled Macadamia, Rough-leaved Queensland Nut",Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,NSW, QLD,,,,,,,,,,,,,,,
1165,Macarthuria keigheryi,Keighery's Macarthuria,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Molluginaceae,WA,,,,,,,,,,,,,,,,
1166,Maccullochella ikei,"Clarence River Cod, Eastern Freshwater Cod",Endangered,Endemic,Animalia,Chordata,Actinopterygii,Perciformes,Percichthyidae,NSW,,,,,,,,,,,,,,,,
1167,Maccullochella macquariensis,Trout Cod,Endangered,Extinct,Animalia,Chordata,Actinopterygii,Perciformes,Percichthyidae,SA,,,,,,,,,,,,,,,,
1168,Maccullochella macquariensis,Trout Cod,Endangered,Present,Animalia,Chordata,Actinopterygii,Perciformes,Percichthyidae,ACT, NSW, VIC,,,,,,,,,,,,,,
1169,Maccullochella mariensis,Mary River Cod,Endangered,Endemic,Animalia,Chordata,Actinopterygii,Perciformes,Percichthyidae,QLD,,,,,,,,,,,,,,,,
1170,Maccullochella peelii,Murray Cod,Vulnerable,Present,Animalia,Chordata,Actinopterygii,Perciformes,Percichthyidae,ACT, NSW, QLD, SA, VIC,,,,,,,,,,,,
1171,Macquaria australasica,Macquarie Perch,Endangered,Extinct,Animalia,Chordata,Actinopterygii,Perciformes,Percichthyidae,SA,,,,,,,,,,,,,,,,
1172,Macquaria australasica,Macquarie Perch,Endangered,Present,Animalia,Chordata,Actinopterygii,Perciformes,Percichthyidae,ACT, NSW, VIC,,,,,,,,,,,,,,
1173,Macroderma gigas,Ghost Bat,Vulnerable,Present,Animalia,Chordata,Mammalia,Chiroptera,Megadermatidae,NT, QLD, SA, WA,,,,,,,,,,,,,
1174,Macronectes giganteus,"Southern Giant-Petrel, Southern Giant Petrel",Endangered,Present,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,AET, ANT, CSI, HI, NI, NSW, OCE, QLD, SA, TAS, TER, VIC, WA,,,,
1175,Macronectes halli,Northern Giant Petrel,Vulnerable,Present,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,AET, ANT, CSI, HI, NI, NSW, OCE, QLD, SA, TAS, TER, VIC, WA,,,,
1176,Macropteranthes montana,,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Combretaceae,QLD,,,,,,,,,,,,,,,,
1177,Macrotis lagotis,Greater Bilby,Vulnerable,Extinct,Animalia,Chordata,Mammalia,Polyprotodonta,Thylacomyidae,NSW,,,,,,,,,,,,,,,,
1178,Macrotis lagotis,Greater Bilby,Vulnerable,Present,Animalia,Chordata,Mammalia,Polyprotodonta,Thylacomyidae,NT, QLD, SA, WA,,,,,,,,,,,,,
1179,Macrotis leucura,"Yallara, Lesser Bilby, Djoonpi",Extinct,Extinct,Animalia,Chordata,Mammalia,Polyprotodonta,Thylacomyidae,NT, QLD, SA, WA,,,,,,,,,,,,,
1180,Macrozamia conferta,,Vulnerable,Endemic,Plantae,Cycadophyta,Cycadatae,Cycadales,Zamiaceae,QLD,,,,,,,,,,,,,,,,
1181,Macrozamia cranei,,Endangered,Endemic,Plantae,Cycadophyta,Cycadatae,Cycadales,Zamiaceae,QLD,,,,,,,,,,,,,,,,
1182,Macrozamia cranei,,Endangered,Present,Plantae,Cycadophyta,Cycadatae,Cycadales,Zamiaceae,NSW,,,,,,,,,,,,,,,,
1183,Macrozamia lomandroides,cycad,Endangered,Endemic,Plantae,Cycadophyta,Cycadatae,Cycadales,Zamiaceae,QLD,,,,,,,,,,,,,,,,
1184,Macrozamia macdonnellii,MacDonnell Ranges Cycad,Vulnerable,Endemic,Plantae,Cycadophyta,Cycadatae,Cycadales,Zamiaceae,NT,,,,,,,,,,,,,,,,
1185,Macrozamia machinii,,Vulnerable,Present,Plantae,Cycadophyta,Cycadatae,Cycadales,Zamiaceae,NSW, QLD,,,,,,,,,,,,,,,
1186,Macrozamia occidua,,Vulnerable,Endemic,Plantae,Cycadophyta,Cycadatae,Cycadales,Zamiaceae,QLD,,,,,,,,,,,,,,,,
1187,Macrozamia parcifolia,,Vulnerable,Endemic,Plantae,Cycadophyta,Cycadatae,Cycadales,Zamiaceae,QLD,,,,,,,,,,,,,,,,
1188,Macrozamia pauli-guilielmi,Pineapple Zamia,Endangered,Endemic,Plantae,Cycadophyta,Cycadatae,Cycadales,Zamiaceae,QLD,,,,,,,,,,,,,,,,
1189,Macrozamia platyrhachis,cycad,Endangered,Endemic,Plantae,Cycadophyta,Cycadatae,Cycadales,Zamiaceae,QLD,,,,,,,,,,,,,,,,
1190,Maireana cheelii,Chariot Wheels,Vulnerable,Extinct,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,QLD,,,,,,,,,,,,,,,,
1191,Maireana cheelii,Chariot Wheels,Vulnerable,Present,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,NSW, VIC,,,,,,,,,,,,,,,
1192,Malurus coronatus coronatus,Purple-crowned Fairy-wren (western),Endangered,Present,Animalia,Chordata,Aves,Passeriformes,Maluridae,NT, WA,,,,,,,,,,,,,,,
1193,Malurus leucopterus edouardi,"White-winged Fairy-wren (Barrow Island), Barrow Island Black-and-white Fairy-wren",Vulnerable,Endemic,Animalia,Chordata,Aves,Passeriformes,Maluridae,WA,,,,,,,,,,,,,,,,
1194,Malurus leucopterus leucopterus,"White-winged Fairy-wren (Dirk Hartog Island), Dirk Hartog Black-and-White Fairy-wren",Vulnerable,Endemic,Animalia,Chordata,Aves,Passeriformes,Maluridae,WA,,,,,,,,,,,,,,,,
1195,Manorina melanotis,Black-eared Miner,Endangered,Present,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,NSW, SA, VIC,,,,,,,,,,,,,,
1196,Marattia salicina,"King Fern, Para, Potato Fern",Endangered,Endemic,Plantae,Polypodiophyta,Polypodiatae,Marattiales,Marattiaceae,AET, NI,,,,,,,,,,,,,,,
