Current Name and SPRAT ID,Current Name and SPRAT ID,Current Name and SPRAT ID,"EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ",EPBC Act Documents ,EPBC Act Documents ,EPBC Act Documents ,Taxonomic Data,Taxonomic Data,Taxonomic Data,Taxonomic Data,Taxonomic Data,Taxonomic Data,Taxonomic Data,"State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence"
Taxon ID,Scientific Name,Common Name,EPBC Threat Status,EPBC Threatened Species Listed Name,EPBC Threatened Species Date Effective,EPBC Act Migratory,Bonn,Listed Name Bonn,CAMBA,Listed Name Camba,JAMBA,Listed Name Jamba,ROKAMBA,Listed Name Rokamba,Marine Status,Listed Name Marine,Cetacean,Finalised Priority Assessment List (FPAL),Listed Name FPAL,Conservation Advice,Recovery Plan,Recovery Plan Decisions,Kingdom,Phylum,Class,Order,Family,Genus,Taxon Group,ACT NC Act,Listed Name,NSW TSC Act and FM Act,Listed Name,NT TPWC Act,Listed Name,Qld NC Act,Listed Name,SA NPW Act,Listed Name,Tas. TSP Act,Listed Name,Vic. FFG Act (Advisory Lists),Listed Name,WA WC Act,Listed Name,IUCN Red List,IUCN Red List Listed Names,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,Ashmore and Cartier Islands,Cocos (Keeling) Islands,Christmas Island,Coral Sea Islands,Jervis Bay Territory,Norfolk Island,Heard and McDonald Islands,Australian Antarctic Territory,Commonwealth Marine Area
75030,Acacia aemula, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia aemula,,,,,,,,,,,,,,,,,
8529,Acacia albizioides,Climbing Wattle,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,Near Threatened,Senegalia albizioides,,,,,,,,,,,,,,Present,,,,,,,,,,,,,
4732,Acacia alcockii, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,Rare,Acacia alcockii,,,,,,,,,,,,,,,,,,,,,,,,,
18723,Acacia alleniana, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia alleniana,,,,,,,,,,,,,,,,,
12605,Acacia alpina,Alpine Wattle,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,, (Rare), (Acacia alpina),,,Least Concern,Acacia alpina,,,,,,,,,,,,,,,,,
13734,Acacia ammobia, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,Rare,Acacia ammobia,,,,,,,,,,,,,,,,,,,,,,,,,
3763,Acacia ammophila, ,Vulnerable,Acacia ammophila,16-Jul-00,,,,,,,,,,,,,,,1-Oct-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,Vulnerable,Acacia ammophila,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,
16866,Acacia amoena,Boomerang Wattle,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,, (Rare), (Acacia amoena),,,,,,,,,,,,,,,,,,,,,
2299,Acacia ampliceps,"Salt Wattle, Jila Jila, Nyarlka",,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia ampliceps,,,,,,,,,,,,,,,,,
8796,Acacia ancistrocarpa,Fitzroy Wattle,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia ancistrocarpa,,,,,,,,,,,,,,,,,
75076,Acacia ancistrophylla var. lissophylla,Dwarf Myall,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,, (Vulnerable), (Acacia ancistrophylla var. lissophylla),,,,,,,,,,,,,,,,,,,,,
21561,Acacia aneura,Mulga,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia aneura,,,,,,,,,,,,,,,,,
8153,Acacia anomala,"Grass Wattle, Chittering Grass Wattle",Vulnerable,Acacia anomala,16-Jul-00,,,,,,,,,,,,,,,26-Mar-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Vulnerable,Acacia anomala,,,,,,,,,,Endemic,,,,,,,,,
13553,Acacia aphylla,Leafless Rock Wattle,Vulnerable,Acacia aphylla,16-Jul-00,,,,,,,,,,,,,,,3-Jul-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Vulnerable,Acacia aphylla,Vulnerable,Acacia aphylla,,,,,,,,Endemic,,,,,,,,,
64821,Acacia aprica,Blunt Wattle,Endangered,Acacia aprica,16-Jul-00,,,,,,,,,,,,,,,15-Jul-16,18-Aug-04,Recovery Plan required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Critically Endangered,Acacia aprica,Endangered,Acacia aprica,,,,,,,,Endemic,,,,,,,,,
20767,Acacia araneosa,"Spidery Wattle, Balcanoona Wattle",Vulnerable,Acacia araneosa,16-Jul-00,,,,,,,,,,,,,,,3-Jul-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,Endangered,Acacia araneosa,,,,,,,,,,,,,Endemic,,,,,,,,,,,,
74994,Acacia arbiana, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,Near Threatened,Acacia arbiana,,,,,,,,,,,,,,Present,,,,,,,,,,,,,
84842,Acacia argentina, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,Vulnerable,Acacia argentina,,,,,,,,,,,,,,Present,,,,,,,,,,,,,
5636,Acacia argyraea, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia argyraea,,,,,,,,,,,,,,,,,
19336,Acacia argyrophylla,Silver Mulga,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,, (Extinct), (Acacia argyrophylla),,,,,,,,,,,,,,,,,,,,,
