,Scientific Name,Common Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Kingdom,Class,Family,Genus,Species
987,Senecio evansianus,a daisy,Endangered,Na,Na,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Asteraceae,Senecio,evansianus
988,Senecio hooglandii,a daisy,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Asteraceae,Senecio,hooglandii
989,Acacia praemorsa,Senna Wattle,Vulnerable,Na,Na,Na,Na,Yes,Na,Na,Na,Plantae,Magnoliopsida,Fabaceae,Acacia,praemorsa
990,Calotis moorei,Moore's BurrNadaisy,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Asteraceae,Calotis,moorei
991,Eucalyptus strzeleckii,Strzelecki Gum,Vulnerable,Na,Na,Na,Na,Na,Na,Yes,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,strzeleckii
992,Macrozamia lomandroides,cycad,Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Plantae,Cycadatae,Zamiaceae,Macrozamia,lomandroides
993,Atalaya collina,Yarwun Whitewood,Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Sapindaceae,Atalaya,collina
994,Hoya australis subsp. oramicola,a vine,Vulnerable,Na,Na,Yes,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Asclepiadaceae,Hoya,australis
995,Graptophyllum reticulatum,Veiny Graptophyllum,Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Acanthaceae,Graptophyllum,reticulatum
996,Caladenia xanthochila,YellowNalip SpiderNaorchid,Endangered,Na,Yes,Na,Na,Yes,Na,Yes,Na,Plantae,Liliopsida,Orchidaceae,Caladenia,xanthochila
999,Acacia awestoniana,Stirling Range Wattle,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Fabaceae,Acacia,awestoniana
1000,Acacia lobulata,Chiddarcooping Wattle,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Fabaceae,Acacia,lobulata
1001,Acacia lanuginophylla,Woolly Wattle,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Fabaceae,Acacia,lanuginophylla
1003,Acacia unguicula,a shrub,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Fabaceae,Acacia,unguicula
1004,Acacia brachypoda,Western Wheatbelt Wattle,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Fabaceae,Acacia,brachypoda
1005,Macadamia jansenii,"Bulberin Nut, Bulburin Nut Tree",Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Proteaceae,Macadamia,jansenii
1007,Verticordia albida,White Featherflower,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Myrtaceae,Verticordia,albida
1009,Verticordia densiflora var. pedunculata,LongNastalked Featherflower,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Myrtaceae,Verticordia,densiflora
1012,Plectranthus nitidus,"Nightcap Plectranthus, Silver Plectranthus",Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Lamiaceae,Plectranthus,nitidus
1015,Cycas platyphylla,a cycad,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Plantae,Cycadatae,Cycadaceae,Cycas,platyphylla
1017,Verticordia pityrhops,"Little Pine Verticordia, PineNalike Featherflower",Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Myrtaceae,Verticordia,pityrhops
1018,Verticordia plumosa var. vassensis,Vasse Featherflower,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Myrtaceae,Verticordia,plumosa
1019,Verticordia spicata subsp. squamosa,ScalyNaleaved Featherflower,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Myrtaceae,Verticordia,spicata
1020,Verticordia staminosa var. cylindracea,Granite Featherflower,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Myrtaceae,Verticordia,staminosa
1021,Verticordia staminosa subsp. staminosa,Wongan Featherflower,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Myrtaceae,Verticordia,staminosa
1022,Budawangia gnidioides,Budawangs CliffNaheath,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Epacridaceae,Budawangia,gnidioides
1023,Calochilus psednus,Cardwell Beard Orchid,Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Plantae,Liliopsida,Orchidaceae,Calochilus,psednus
1024,Myriophyllum lapidicola,Chiddarcooping Myriophyllum,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Haloragaceae,Myriophyllum,lapidicola
1025,Goodenia integerrima,Gypsum Goodenia,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Goodeniaceae,Goodenia,integerrima
1029,Angophora robur,Sandstone RoughNabarked Apple,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Angophora,robur
1031,Eucalyptus parramattensis subsp. decadens,"Earp's Gum, Earp's Dirty Gum",Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,parramattensis
1032,Eucalyptus parvula,SmallNaleaved Gum,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,parvula
1033,Eucalyptus aquatica,"Mountain Swamp Gum, BroadNaleaved Sallee, BroadNaleaved Sally",Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,aquatica
1034,Eucalyptus paedoglauca,Mt Stuart Ironbark,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,paedoglauca
1035,Eucalyptus caleyi subsp. ovendenii,Ovenden's Ironbark,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,caleyi
1037,Ozothamnus vagans,Wollumbin Dogwood,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Asteraceae,Ozothamnus,vagans
1038,Eucalyptus robertsonii subsp. hemisphaerica,Robertson's Peppermint,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,robertsonii
1039,Eucalyptus langleyi,Albatross Mallee,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,langleyi
1041,Persoonia bargoensis,Bargo Geebung,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Proteaceae,Persoonia,bargoensis
1043,Acacia courtii,Northern Brother Wattle,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Fabaceae,Acacia,courtii
1044,Boronia umbellata,Orara Boronia,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Rutaceae,Boronia,umbellata
1045,Almaleea cambagei,Torrington Pea,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Fabaceae,Almaleea,cambagei
1047,Eucalyptus kabiana,Mount Beerwah Mallee,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,kabiana
1048,Eucalyptus beaniana,Bean's Ironbark,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,beaniana
1049,Grevillea calliantha,"Foote's Grevillea, Cataby Grevillea, Black Magic Grevillea",Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Proteaceae,Grevillea,calliantha
1050,Swainsona pyrophila,Yellow SwainsonNapea,Vulnerable,Na,Yes,Na,Na,Yes,Na,Yes,Na,Plantae,Magnoliopsida,Fabaceae,Swainsona,pyrophila
1052,Grevillea wilkinsonii,Tumut Grevillea,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Proteaceae,Grevillea,wilkinsonii
1053,Alloxylon flammeum,"Red Silky Oak, Queensland Waratah, Tree Waratah",Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Proteaceae,Alloxylon,flammeum
1054,Eucalyptus pruiniramis,"Midlands Gum, Jingymia Gum",Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,pruiniramis
1055,Eucalyptus recta,Silver Mallet,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,recta
1057,Boronia galbraithiae,"Aniseed Boronia, Galbraith's Boronia",Vulnerable,Na,Na,Na,Na,Na,Na,Yes,Na,Plantae,Magnoliopsida,Rutaceae,Boronia,galbraithiae
1058,Callistemon forresterae,Forrester's Bottlebrush,Vulnerable,Na,Yes,Na,Na,Na,Na,Yes,Na,Plantae,Magnoliopsida,Myrtaceae,Callistemon,forresterae
1059,Pterostylis basaltica,Basalt Greenhood,Endangered,Na,Na,Na,Na,Na,Na,Yes,Na,Plantae,Liliopsida,Orchidaceae,Pterostylis,basaltica
1060,Pterostylis cheraphila,Floodplain Rustyhood,Vulnerable,Na,Na,Na,Na,Yes,Na,Yes,Na,Plantae,Liliopsida,Orchidaceae,Pterostylis,cheraphila
1061,Pterostylis chlorogramma,GreenNastriped Greenhood,Vulnerable,Na,Na,Na,Na,Yes,Na,Yes,Na,Plantae,Liliopsida,Orchidaceae,Pterostylis,chlorogramma
1062,Thomasia glabripetala,Sandplain Thomasia,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Sterculiaceae,Thomasia,glabripetala
1063,Melicytus latifolius,Norfolk Island Mahoe,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Violaceae,Melicytus,latifolius
1064,Melicytus ramiflorus subsp. oblongifolius,"Whiteywood, a tree",Vulnerable,Na,Na,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Violaceae,Melicytus,ramiflorus
1065,Daviesia bursarioides,Three Springs Daviesia,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Fabaceae,Daviesia,bursarioides
1066,Daviesia speciosa,Beautiful Daviesia,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Fabaceae,Daviesia,speciosa
1068,Acacia leptalea,Chinocup Wattle,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Fabaceae,Acacia,leptalea
1069,Eremophila subteretifolia,Lake King Eremophila,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Myoporaceae,Eremophila,subteretifolia
1070,Darwinia ferricola,Scott River Darwinia,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Myrtaceae,Darwinia,ferricola
1071,Eucalyptus dolorosa,"Dandaragan Mallee, Mount Misery Mallee",Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,dolorosa
1072,Eucalyptus impensa,Eneabba Mallee,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,impensa
1073,Eucalyptus leprophloia,"Scaly Butt Mallee, ScalyNabutt Mallee",Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,leprophloia
1075,Caladenia christineae,Christine's Spider Orchid,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Liliopsida,Orchidaceae,Caladenia,christineae
1076,Caladenia excelsa,Giant SpiderNaorchid,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Liliopsida,Orchidaceae,Caladenia,excelsa
1077,Caladenia hoffmanii,Hoffman's SpiderNaorchid,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Liliopsida,Orchidaceae,Caladenia,hoffmanii
1078,Lambertia echinata subsp. echinata,Prickly Honeysuckle,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Proteaceae,Lambertia,echinata
1079,Zieria citriodora,LemonNascented Zieria,Vulnerable,Na,Yes,Na,Na,Na,Na,Yes,Na,Plantae,Magnoliopsida,Rutaceae,Zieria,citriodora
1080,Zieria covenyi,Coveny's Zieria,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Rutaceae,Zieria,covenyi
1081,Zieria formosa,Shapely Zieria,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Rutaceae,Zieria,formosa
1082,Zieria ingramii,Ingram's Zieria,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Rutaceae,Zieria,ingramii
1083,Zieria parrisiae,Parris's Zieria,Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Rutaceae,Zieria,parrisiae
1084,Zieria tuberculata,Warty Zieria,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Rutaceae,Zieria,tuberculata
1085,Daviesia pseudaphylla,Stirling Range Daviesia,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Fabaceae,Daviesia,pseudaphylla
1086,Eremophila prostrata,Rainbow Valley Fuchsia Bush,Vulnerable,Na,Na,Yes,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Scrophulariaceae,Eremophila,prostrata
1087,Drakaea micrantha,Dwarf HammerNaorchid,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Liliopsida,Orchidaceae,Drakaea,micrantha
1088,Zieria buxijugum,Box Range Zieria,Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Rutaceae,Zieria,buxijugum
1091,Daviesia microcarpa,Norseman Pea,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Fabaceae,Daviesia,microcarpa
1092,Acacia pygmaea,Dwarf Rock Wattle,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Fabaceae,Acacia,pygmaea
1093,Eucalyptus articulata,Ponton Creek Mallee,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,articulata
1094,Eucalyptus cuprea,Mallee Box,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,cuprea
1095,Caladenia elegans,Elegant SpiderNaorchid,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Liliopsida,Orchidaceae,Caladenia,elegans
1096,Caladenia viridescens,Dunsborough SpiderNaorchid,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Liliopsida,Orchidaceae,Caladenia,viridescens
1097,Drakaea concolor,Kneeling HammerNaorchid,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Liliopsida,Orchidaceae,Drakaea,concolor
1098,Drakaea confluens,Late HammerNaorchid,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Liliopsida,Orchidaceae,Drakaea,confluens
1100,Zieria baeuerlenii,"Bomaderry Zieria, Bomaderry Creek Zieria",Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Rutaceae,Zieria,baeuerlenii
1101,Zieria prostrata,Headland Zieria,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Rutaceae,Zieria,prostrata
1102,Daviesia megacalyx,LongNasepalled Daviesia,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Fabaceae,Daviesia,megacalyx
1103,Caladenia harringtoniae,"Harrington's SpiderNaorchid, Pink SpiderNaorchid",Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Liliopsida,Orchidaceae,Caladenia,harringtoniae
1104,Galaxiella pusilla,"Eastern Dwarf Galaxias, Dwarf Galaxias",Vulnerable,Na,Na,Na,Na,Yes,Yes,Yes,Na,Animalia,Actinopterygii,Galaxiidae,Galaxiella,pusilla
1105,Craterocephalus fluviatilis,Murray Hardyhead,Endangered,Na,Yes,Na,Na,Yes,Na,Yes,Na,Animalia,Actinopterygii,Atherinidae,Craterocephalus,fluviatilis
1106,Scaturiginichthys vermeilipinnis,"Redfin Blue Eye, Redfin BlueNaeye",Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Actinopterygii,Pseudomugilidae,Scaturiginichthys,vermeilipinnis
1107,Crinia sloanei,Sloane's Froglet,Endangered,Na,Yes,Na,Na,Na,Na,Yes,Na,Animalia,Amphibia,Myobatrachidae,Crinia,sloanei
1108,Eulamprus leuraensis,Blue Mountains Water Skink,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Reptilia,Scincidae,Eulamprus,leuraensis
1109,Christinus guentheri,"Lord Howe Island Gecko, Lord Howe Island Southern Gecko ",Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Reptilia,Gekkonidae,Christinus,guentheri
1110,Furina dunmalli,Dunmall's Snake,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Reptilia,Elapidae,Furina,dunmalli
1111,Natator depressus,Flatback Turtle,Vulnerable,Na,Yes,Yes,Yes,Na,Na,Na,Yes,Animalia,Reptilia,Cheloniidae,Natator,depressus
1112,Petrogale coenensis,Cape York RockNawallaby,Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Mammalia,Macropodidae,Petrogale,coenensis
1113,Petrogale sharmani,"Mount Claro Rock Wallaby, Sharman's Rock Wallaby",Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Mammalia,Macropodidae,Petrogale,sharmani
1114,Turnix olivii,BuffNabreasted ButtonNaquail,Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Aves,Turnicidae,Turnix,olivii
1115,Papasula abbotti,Abbott's Booby,Endangered,Na,Na,Na,Na,Na,Na,Na,Na,Animalia,Aves,Sulidae,Papasula,abbotti
1116,Pezoporus occidentalis,Night Parrot,Endangered,Na,Yes,Yes,Yes,Yes,Na,Na,Yes,Animalia,Aves,Psittacidae,Pezoporus,occidentalis
1117,Acanthiza pusilla archibaldi,"King Island Brown Thornbill, Brown Thornbill (King Island)",Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Aves,Acanthizidae,Acanthiza,pusilla
1118,Stipiturus mallee,Mallee EmuNawren,Endangered,Na,Yes,Na,Na,Yes,Na,Yes,Na,Animalia,Aves,Maluridae,Stipiturus,mallee
1119,Calyptorhynchus latirostris,"Carnaby's Cockatoo,  ShortNabilled BlackNaCockatoo",Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Animalia,Aves,Cacatuidae,Calyptorhynchus,latirostris
1120,Nangura spinosa,Nangur Spiny Skink,Critically Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Reptilia,Scincidae,Nangura,spinosa
1121,Polytelis anthopeplus monarchoides,Regent Parrot (eastern),Vulnerable,Na,Yes,Na,Na,Yes,Na,Yes,Na,Animalia,Aves,Psittacidae,Polytelis,anthopeplus
1122,Coeranoscincus reticulatus,ThreeNatoed SnakeNatooth Skink,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Reptilia,Scincidae,Coeranoscincus,reticulatus
1123,Cyclopsitta diophthalma coxeni,Coxen's FigNaParrot,Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Aves,Psittacidae,Cyclopsitta,diophthalma
1124,Pristis pristis,"Freshwater Sawfish, Largetooth Sawfish, River Sawfish, Leichhardt's Sawfish, Northern Sawfish",Vulnerable,Na,Na,Yes,Yes,Na,Na,Na,Yes,Animalia,Chondrichthyes,Pristidae,Pristis,pristis
1125,Acacia purpureopetala,PurpleNaflowered Wattle,Critically Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Fabaceae,Acacia,purpureopetala
1126,Grevillea humifusa,Spreading Grevillea,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Proteaceae,Grevillea,humifusa
1127,Typhonium jonesii,a herb,Endangered,Na,Na,Yes,Na,Na,Na,Na,Na,Plantae,Liliopsida,Araceae,Typhonium,jonesii
1128,Schoenia filifolia subsp. subulifolia,Mingenew Everlasting,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Plantae,Magnoliopsida,Asteraceae,Schoenia,filifolia
1130,Corymbia xanthope,Glen Geddes Bloodwood,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Corymbia,xanthope
1132,Corymbia leptoloma,Yellowjacket,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Corymbia,leptoloma
1133,Eucalyptus paludicola,"Mount Compass Swamp Gum, Fleurieu Swamp Gum, Marsh Gum",Endangered,Na,Na,Na,Na,Yes,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,paludicola
1134,Eucalyptus alligatrix subsp. limaensis,Lima Stringybark,Endangered,Na,Na,Na,Na,Na,Na,Yes,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,alligatrix
1135,Eucalyptus alligatrix subsp. miscella,a stringybark,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,alligatrix
1136,Pipistrellus murrayi,Christmas Island Pipistrelle,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Na,Animalia,Mammalia,Vespertilionidae,Pipistrellus,murrayi
1137,Cophixalus monticola,MountainNatop NurseryNafrog,Critically Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Amphibia,Microhylidae,Cophixalus,monticola
1138,Pseudophryne covacevichae,Magnificent Brood Frog,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Amphibia,Myobatrachidae,Pseudophryne,covacevichae
1139,Elusor macrurus,"Mary River Turtle, Mary River Tortoise",Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Reptilia,Chelidae,Elusor,macrurus
1140,Diomedea amsterdamensis,Amsterdam Albatross,Endangered,Na,Yes,Na,Na,Yes,Yes,Yes,Yes,Animalia,Aves,Diomedeidae,Diomedea,amsterdamensis
1141,Astacopsis gouldi,"Giant Freshwater Crayfish, Tasmanian Giant Freshwater Lobster",Vulnerable,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Malacostraca,Parastacidae,Astacopsis,gouldi
1142,Brachionichthys hirsutus,Spotted Handfish,Critically Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Actinopterygii,Brachionichthyidae,Brachionichthys,hirsutus
1143,Megascolides australis,Giant Gippsland Earthworm,Vulnerable,Na,Na,Na,Na,Na,Na,Yes,Na,Animalia,Oligochaeta,Megascolecidae,Megascolides,australis
1144,Aquila audax fleayi,"Tasmanian WedgeNatailed Eagle, WedgeNatailed Eagle (Tasmanian)",Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Aves,Accipitridae,Aquila,audax
1145,Calyptorhynchus lathami halmaturinus,"Glossy BlackNaCockatoo (Kangaroo Island), Glossy BlackNaCockatoo (South Australian)",Endangered,Na,Na,Na,Na,Yes,Na,Na,Na,Animalia,Aves,Cacatuidae,Calyptorhynchus,lathami
1146,Dromaius novaehollandiae diemenensis,"Tasmanian Emu, Emu (Tasmanian)",Extinct,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Aves,Dromaiidae,Dromaius,novaehollandiae
1147,Fregetta grallaria grallaria,"WhiteNabellied StormNaPetrel (Tasman Sea), WhiteNabellied StormNaPetrel (Australasian)",Vulnerable,Na,Yes,Na,Yes,Na,Yes,Yes,Na,Animalia,Aves,Hydrobatidae,Fregetta,grallaria
1148,Geophaps scripta scripta,Squatter Pigeon (southern),Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Aves,Columbidae,Geophaps,scripta
1149,Geophaps smithii smithii,Partridge Pigeon (eastern),Vulnerable,Na,Na,Yes,Na,Na,Na,Na,Yes,Animalia,Aves,Columbidae,Geophaps,smithii
1150,Malurus coronatus coronatus,PurpleNacrowned FairyNawren (western),Endangered,Na,Na,Yes,Na,Na,Na,Na,Yes,Animalia,Aves,Maluridae,Malurus,coronatus
1151,Neochmia phaeton evangelinae,Crimson Finch (whiteNabellied),Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Aves,Passeridae,Neochmia,phaeton
1152,Pachycephala pectoralis xanthoprocta,Golden Whistler (Norfolk Island),Vulnerable,Na,Na,Na,Na,Na,Na,Na,Na,Animalia,Aves,Pachycephalidae,Pachycephala,pectoralis
1153,Pachyptila turtur subantarctica,Fairy Prion (southern),Vulnerable,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Aves,Procellariidae,Pachyptila,turtur
1154,Poephila cincta cincta,Southern BlackNathroated Finch,Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Aves,Passeridae,Poephila,cincta
1155,Psophodes nigrogularis nigrogularis,Western Heath Whipbird ,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Animalia,Aves,Psophodidae,Psophodes,nigrogularis
1156,Pterodroma neglecta neglecta,Kermadec Petrel (western),Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Aves,Procellariidae,Pterodroma,neglecta
1157,Sterna vittata bethunei,"New Zealand Antarctic Tern, Antarctic Tern (New Zealand)",Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Aves,Laridae,Sterna,vittata
1158,Sterna vittata vittata,Antarctic Tern (Indian Ocean),Vulnerable,Na,Na,Na,Na,Na,Na,Na,Na,Animalia,Aves,Laridae,Sterna,vittata
1159,Amytornis textilis myall,Western Grasswren (Gawler Ranges),Vulnerable,Na,Na,Na,Na,Yes,Na,Na,Na,Animalia,Aves,Maluridae,Amytornis,textilis
1160,Diomedea sanfordi,Northern Royal Albatross,Endangered,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Diomedeidae,Diomedea,sanfordi
1161,Thalassarche eremita,Chatham Albatross,Endangered,Na,Yes,Na,Yes,Na,Yes,Yes,Na,Animalia,Aves,Diomedeidae,Thalassarche,eremita
1162,Diomedea antipodensis,Antipodean Albatross,Vulnerable,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Diomedeidae,Diomedea,antipodensis
1163,Thalassarche impavida,"Campbell Albatross, Campbell BlackNabrowed Albatross",Vulnerable,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Diomedeidae,Thalassarche,impavida
