Species,Common Name,Category,Type of Presence,Comments,Location(s),Kingdom,Phylum,Class,Order,Family,EPBC Act Threatened Species in Australia (Generated 2020-09-29 22:36:16)
Dasyurus viverrinus,"Eastern Quoll, Luaner",Endangered,Present,,"NSW, SA, TAS, VIC",Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Davidsonia jerseyana,Davidson's Plum,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Cunoniaceae,
Davidsonia johnsonii,"Smooth Davidsonia, Smooth Davidson's Plum, Small-leaved Davidson's Plum",Endangered,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Rosales,Cunoniaceae,
Daviesia bursarioides,Three Springs Daviesia,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Daviesia cunderdin,Cunderdin Daviesia,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Daviesia dielsii,Diels' Daviesia,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Daviesia discolor,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Daviesia elongata subsp. elongata,Long-leaved Daviesia,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Daviesia euphorbioides,Wongan Cactus,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Daviesia glossosema,Maroon-flowered Daviesia,Critically Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Daviesia laevis,Grampians Bitter-pea,Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Daviesia megacalyx,Long-sepalled Daviesia,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Daviesia microcarpa,Norseman Pea,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Daviesia obovata,Paddle-leaf Daviesia,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Daviesia ovata,Broad-leaf Daviesia,Critically Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Daviesia pseudaphylla,Stirling Range Daviesia,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Daviesia speciosa,Beautiful Daviesia,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Decaspermum struckoilicum,,Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Delma impar,"Striped Legless Lizard, Striped Snake-lizard",Vulnerable,Present,,"ACT, NSW, SA, VIC",Animalia,Chordata,Reptilia,Squamata,Pygopodidae,
Delma mitella,"Atherton Delma, Legless Lizard",Vulnerable,Endemic,,QLD,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,
Delma torquata,"Adorned Delma, Collared Delma",Vulnerable,Endemic,,QLD,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,
Delma torquata,"Adorned Delma, Collared Delma",Vulnerable,Present,,NSW,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,
Dendrobium antennatum,Antelope Orchid,Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Dendrobium bigibbum,Cooktown Orchid,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Dendrobium brachypus,Norfolk Island Orchid,Endangered,Endemic,Norfolk Island,"AET, NI",Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Dendrobium johannis,Chocolate Tea Tree Orchid,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Dendrobium mirbelianum,"Dark-stemmed Antler Orchid, Mangrove Orchid",Endangered,Present,,QLD,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
