Scientific Name,Common Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,ACI,CKI,CI,CSI,JBT,NFI,HMI,AAT,CMA,Listed SPRAT TaxonID,Kingdom,Class,Family,Genus,Species
Hypocalymma longifolium,LongNaleaved Myrtle,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,8081,Plantae,Magnoliopsida,Myrtaceae,Hypocalymma,longifolium
Acacia anomala,"Grass Wattle, Chittering Grass Wattle",Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,8153,Plantae,Magnoliopsida,Fabaceae,Acacia,anomala
Verticordia helichrysantha,Coast Featherflower,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,8204,Plantae,Magnoliopsida,Myrtaceae,Verticordia,helichrysantha
Asterolasia nivea,Bindoon Starbush,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,8225,Plantae,Magnoliopsida,Rutaceae,Asterolasia,nivea
Myriophyllum coronatum,Na,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,8230,Plantae,Magnoliopsida,Haloragaceae,Myriophyllum,coronatum
Banksia brownii,"Brown's Banksia, FeatherNaleaved Banksia",Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,8277,Plantae,Magnoliopsida,Proteaceae,Banksia,brownii
Aponogeton bullosus,Na,Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,8299,Plantae,Liliopsida,Aponogetonaceae,Aponogeton,bullosus
Acacia peuce,"Waddy, Waddi, WaddyNawood, Birdsville Wattle",Vulnerable,Na,Na,Yes,Yes,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,8301,Plantae,Magnoliopsida,Fabaceae,Acacia,peuce
Banksia verticillata,"Granite Banksia, Albany Banksia, River Banksia",Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,8333,Plantae,Magnoliopsida,Proteaceae,Banksia,verticillata
Boronia deanei,Deane's Boronia,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,8397,Plantae,Magnoliopsida,Rutaceae,Boronia,deanei
Baloghia marmorata,"Marbled Balogia, Jointed Baloghia",Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,8463,Plantae,Magnoliopsida,Euphorbiaceae,Baloghia,marmorata
Gyrostemon reticulatus,NetNaveined Gyrostemon,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,8491,Plantae,Magnoliopsida,Gyrostemonaceae,Gyrostemon,reticulatus
Frankenia decurrens,DecurrentNaleaved Frankenia,Extinct,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,8494,Plantae,Magnoliopsida,Frankeniaceae,Frankenia,decurrens
Acacia bynoeana,"Bynoe's Wattle, Tiny Wattle",Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,8575,Plantae,Magnoliopsida,Fabaceae,Acacia,bynoeana
Acronychia littoralis,Scented Acronychia,Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,8582,Plantae,Magnoliopsida,Rutaceae,Acronychia,littoralis
Bertya pinifolia,a shrub,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,8587,Plantae,Magnoliopsida,Euphorbiaceae,Bertya,pinifolia
Graptophyllum ilicifolium,"HollyNaleaved Graptophyllum, Mt Blackwood Holly",Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,8601,Plantae,Magnoliopsida,Acanthaceae,Graptophyllum,ilicifolium
Epacris hamiltonii,Na,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,8700,Plantae,Magnoliopsida,Epacridaceae,Epacris,hamiltonii
Haloragis eyreana,Prickly Raspwort,Endangered,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,8737,Plantae,Magnoliopsida,Haloragaceae,Haloragis,eyreana
Xanthostemon oppositifolius,"Penda, Southern Penda, Luya's Hardwood",Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,8738,Plantae,Magnoliopsida,Myrtaceae,Xanthostemon,oppositifolius
Darwinia apiculata,Scarp Darwinia,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,8763,Plantae,Magnoliopsida,Proteaceae,Darwinia,apiculata
Kunzea rupestris,Na,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,8798,Plantae,Magnoliopsida,Myrtaceae,Kunzea,rupestris
Pandanus spiralis var. flammeus,Edgar Range Pandanus,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,8825,Plantae,Liliopsida,Pandanaceae,Pandanus,spiralis
Uromyrtus australis,Peach Myrtle,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,8830,Plantae,Magnoliopsida,Myrtaceae,Uromyrtus,australis
Sophora fraseri,Na,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,8836,Plantae,Magnoliopsida,Fabaceae,Sophora,fraseri
Acacia glandulicarpa,HairyNapod Wattle,Vulnerable,Na,Na,Na,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,8838,Plantae,Magnoliopsida,Fabaceae,Acacia,glandulicarpa
Elaeocarpus williamsianus,Hairy Quandong,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,8956,Plantae,Magnoliopsida,Elaeocarpaceae,Elaeocarpus,williamsianus
Comesperma oblongatum,Byfield Matchstick,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,9002,Plantae,Magnoliopsida,Polygalaceae,Comesperma,oblongatum
Macropteranthes montana,Na,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,9003,Plantae,Magnoliopsida,Combretaceae,Macropteranthes,montana
Darwinia acerosa,FineNaleaved Darwinia,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,9004,Plantae,Magnoliopsida,Myrtaceae,Darwinia,acerosa
Pterostylis bicornis,Na,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,9074,Plantae,Liliopsida,Orchidaceae,Pterostylis,bicornis
Boronia revoluta,Ironcap Boronia,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,9167,Plantae,Magnoliopsida,Rutaceae,Boronia,revoluta
Coopernookia scabridiuscula,Na,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,9174,Plantae,Magnoliopsida,Goodeniaceae,Coopernookia,scabridiuscula
Lepidium monoplocoides,Winged PepperNacress,Endangered,Na,Yes,Na,Yes,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,9190,Plantae,Magnoliopsida,Brassicaceae,Lepidium,monoplocoides
Drummondita ericoides,Morseby Range Drummondita,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,9193,Plantae,Magnoliopsida,Rutaceae,Drummondita,ericoides
Gastrolobium hamulosum,HookNapoint Poison,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,9212,Plantae,Magnoliopsida,Fabaceae,Gastrolobium,hamulosum
Acacia menzelii,Menzel's Wattle,Vulnerable,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,9218,Plantae,Magnoliopsida,Fabaceae,Acacia,menzelii
Bulbophyllum longiflorum,pale umbrella orchid,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,9227,Plantae,Liliopsida,Orchidaceae,Bulbophyllum,longiflorum
Phreatia limenophylax,Norfolk Island Phreatia,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,9239,Plantae,Liliopsida,Orchidaceae,Phreatia,limenophylax
Conostylis lepidospermoides,Sedge Conostylis,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,9254,Plantae,Liliopsida,Haemodoraceae,Conostylis,lepidospermoides
Caladenia arenaria,SandNahill SpiderNaorchid,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,9275,Plantae,Liliopsida,Orchidaceae,Caladenia,arenaria
Acacia eremophiloides,Na,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,9280,Plantae,Magnoliopsida,Fabaceae,Acacia,eremophiloides
Caladenia lindleyana,Lindley's SpiderNaorchid,Critically Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,9305,Plantae,Liliopsida,Orchidaceae,Caladenia,lindleyana
Arthraxon hispidus,HairyNajoint Grass,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,9338,Plantae,Liliopsida,Poaceae,Arthraxon,hispidus
Eucalyptus rhodantha,Rose Mallee,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,9362,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,rhodantha
Trachymene scapigera,Mountain Trachymene,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,9367,Plantae,Magnoliopsida,Apiaceae,Trachymene,scapigera
Prostanthera calycina,"West Coast Mintbush, Limestone Mintbush, Red Mintbush",Vulnerable,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,9470,Plantae,Magnoliopsida,Lamiaceae,Prostanthera,calycina
Pomaderris sericea,Bent Pomaderris,Vulnerable,Na,Yes,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,9597,Plantae,Magnoliopsida,Rhamnaceae,Pomaderris,sericea
Caladenia pallida,"Rosy SpiderNaorchid, Pale SpiderNaorchid, Summer SpiderNaorchid",Critically Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,9604,Plantae,Liliopsida,Orchidaceae,Caladenia,pallida
Eucalyptus scoparia,Wallangarra White Gum,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,9640,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,scoparia
Grevillea caleyi,Caley's Grevillea,Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,9683,Plantae,Magnoliopsida,Proteaceae,Grevillea,caleyi
Prasophyllum frenchii,"Maroon LeekNaorchid, Slaty LeekNaorchid, Stout LeekNaorchid, French's LeekNaorchid, Swamp LeekNaorchid",Endangered,Na,Na,Na,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,9704,Plantae,Liliopsida,Orchidaceae,Prasophyllum,frenchii
Darwinia carnea,"Mogumber Bell, Narrogin Bell",Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,9736,Plantae,Magnoliopsida,Myrtaceae,Darwinia,carnea
Banksia cuneata,"Matchstick Banksia, Quairading Banksia",Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,9827,Plantae,Magnoliopsida,Proteaceae,Banksia,cuneata
Cadellia pentastylis,Ooline,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,9828,Plantae,Magnoliopsida,Surianaceae,Cadellia,pentastylis
Acacia georgensis,Bega Wattle,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,9848,Plantae,Magnoliopsida,Fabaceae,Acacia,georgensis
Drosera prolifera,Na,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,9940,Plantae,Magnoliopsida,Droseraceae,Drosera,prolifera
Euphrasia semipicta,Peninsula Eyebright,Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,9986,Plantae,Magnoliopsida,Scrophulariaceae,Euphrasia,semipicta
Bulbophyllum gracillimum,Wispy Umbrella Orchid,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10002,Plantae,Liliopsida,Orchidaceae,Bulbophyllum,gracillimum
Bossiaea oligosperma,Na,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10059,Plantae,Magnoliopsida,Fabaceae,Bossiaea,oligosperma
Caladenia calcicola,Limestone SpiderNaorchid,Vulnerable,Na,Na,Na,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10065,Plantae,Liliopsida,Orchidaceae,Caladenia,calcicola
Coleanthera virgata,Hidden Coleanthera,Extinct,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,10107,Plantae,Magnoliopsida,Epacridaceae,Coleanthera,virgata
Phyllota humifusa,Dwarf Phyllota,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10133,Plantae,Magnoliopsida,Fabaceae,Phyllota,humifusa
Tetraria australiensis,Southern Tetraria,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,10137,Plantae,Liliopsida,Cyperaceae,Tetraria,australiensis
Eucalyptus virens,Na,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10181,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,virens
Diuris lanceolata,Snake Orchid,Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10231,Plantae,Liliopsida,Orchidaceae,Diuris,lanceolata
Hypolepis dicksonioides,"Downy GroundNafern, Brake Fern, Ground Fern",Vulnerable,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,10243,Plantae,Polypodiatae,Dennstaedtiaceae,Hypolepis,dicksonioides
Cyperus cephalotes,Na,Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10265,Plantae,Liliopsida,Cyperaceae,Cyperus,cephalotes
Prasophyllum validum,"Sturdy LeekNaorchid, Mount Remarkable LeekNaorchid",Vulnerable,Na,Yes,Na,Yes,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10268,Plantae,Liliopsida,Orchidaceae,Prasophyllum,validum
Pultenaea villifera var. glabrescens,"Yellow BushNapea, Splendid BushNapea",Vulnerable,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10271,Plantae,Magnoliopsida,Fabaceae,Pultenaea,villifera
Dendrobium bigibbum,Cooktown Orchid,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10306,Plantae,Liliopsida,Orchidaceae,Dendrobium,bigibbum
Epacris stuartii,"Stuart's Heath, Southport Heath",Critically Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10348,Plantae,Magnoliopsida,Epacridaceae,Epacris,stuartii
Astrotricha crassifolia,ThickNaleaf StarNahair,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10352,Plantae,Magnoliopsida,Araliaceae,Astrotricha,crassifolia
Hensmania chapmanii,Chapman's Hensmania,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,10481,Plantae,Liliopsida,Liliaceae,Hensmania,chapmanii
Hakea megalosperma,Lesueur Hakea,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,10505,Plantae,Magnoliopsida,Proteaceae,Hakea,megalosperma
Banksia sphaerocarpa var. dolichostyla,"Ironcaps Banksia, Ironcap Banksia",Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,10518,Plantae,Magnoliopsida,Proteaceae,Banksia,sphaerocarpa
Randia moorei,Spiny Gardenia,Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10577,Plantae,Magnoliopsida,Rubiaceae,Randia,moorei
Eriocaulon carsonii,"Salt Pipewort, Button Grass",Endangered,Na,Yes,Na,Yes,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10584,Plantae,Liliopsida,Eriocaulaceae,Eriocaulon,carsonii
Olax angulata,Minnie Waters Olax,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10666,Plantae,Magnoliopsida,Olacaceae,Olax,angulata
Acacia cretacea,Chalky Wattle,Endangered,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10689,Plantae,Magnoliopsida,Fabaceae,Acacia,cretacea
Acacia attenuata,Na,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10690,Plantae,Magnoliopsida,Fabaceae,Acacia,attenuata
Acacia macnuttiana,McNutt's Wattle,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10711,Plantae,Magnoliopsida,Fabaceae,Acacia,macnuttiana
Adenanthos pungens subsp. effusus,Sprawling Spiky Adenanthos,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,10742,Plantae,Magnoliopsida,Proteaceae,Adenanthos,pungens
Gentiana wissmannii,New England Gentian,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10786,Plantae,Magnoliopsida,Gentianaceae,Gentiana,wissmannii
Acacia constablei,Narrabarba Wattle,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10798,Plantae,Magnoliopsida,Fabaceae,Acacia,constablei
Swainsona plagiotropis,"Red DarlingNapea, Red SwainsonNapea",Vulnerable,Na,Yes,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10804,Plantae,Magnoliopsida,Fabaceae,Swainsona,plagiotropis
Paspalidium grandispiculatum,a grass,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10838,Plantae,Liliopsida,Poaceae,Paspalidium,grandispiculatum
Picris evae,Hawkweed,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10839,Plantae,Magnoliopsida,Asteraceae,Picris,evae
Astelia australiana,Tall Astelia,Vulnerable,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10851,Plantae,Liliopsida,Liliaceae,Astelia,australiana
Persoonia marginata,Clandulla Geebung,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10852,Plantae,Magnoliopsida,Proteaceae,Persoonia,marginata
Conostylis wonganensis,Wongan Conostylis,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,10906,Plantae,Liliopsida,Haemodoraceae,Conostylis,wonganensis
Lawrencia buchananensis,Na,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10919,Plantae,Magnoliopsida,Malvaceae,Lawrencia,buchananensis
Acacia crombiei,Pink Gidgee,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,10927,Plantae,Magnoliopsida,Fabaceae,Acacia,crombiei
Lepidium aschersonii,Spiny PepperNacress,Vulnerable,Na,Yes,Na,Na,Na,Na,Yes,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,10976,Plantae,Magnoliopsida,Brassicaceae,Lepidium,aschersonii
Eucalyptus recurva,Mongarlowe Mallee,Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,11004,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,recurva
Anthocercis gracilis,Slender Tailflower,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,11103,Plantae,Magnoliopsida,Solanaceae,Anthocercis,gracilis
Rhagodia acicularis,Wongan Rhagodia,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,11145,Plantae,Magnoliopsida,Chenopodiaceae,Rhagodia,acicularis
Caladenia behrii,PinkNalipped SpiderNaorchid,Endangered,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,11161,Plantae,Liliopsida,Orchidaceae,Caladenia,behrii
Hakea aculeata,Column Hakea,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,11191,Plantae,Magnoliopsida,Proteaceae,Hakea,aculeata
Acianthus ledwardii,Na,Extinct,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,11200,Plantae,Liliopsida,Orchidaceae,Acianthus,ledwardii
Prostanthera cineolifera,Na,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,11233,Plantae,Magnoliopsida,Lamiaceae,Prostanthera,cineolifera
Ptychosema pusillum,Dwarf Pea,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,11268,Plantae,Magnoliopsida,Fabaceae,Ptychosema,pusillum
Acacia rhetinocarpa,"Neat Wattle, Resin Wattle (SA)",Vulnerable,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,11282,Plantae,Magnoliopsida,Fabaceae,Acacia,rhetinocarpa
Dendrobium nindii,an orchid,Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,11289,Plantae,Liliopsida,Orchidaceae,Dendrobium,nindii
Owenia cepiodora,"Onionwood, Bog Onion, Onion Cedar",Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,11344,Plantae,Magnoliopsida,Meliaceae,Owenia,cepiodora
Ochrosia moorei,Southern Ochrosia,Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,11350,Plantae,Magnoliopsida,Apocynaceae,Ochrosia,moorei
Calophyllum bicolor,Na,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,11371,Plantae,Magnoliopsida,Clusiaceae,Calophyllum,bicolor
Sarcochilus hirticalcar,Na,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,11388,Plantae,Liliopsida,Orchidaceae,Sarcochilus,hirticalcar
Kunzea cambagei,Na,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,11420,Plantae,Magnoliopsida,Myrtaceae,Kunzea,cambagei
Verticordia hughanii,Hughan's Featherflower,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,11434,Plantae,Magnoliopsida,Myrtaceae,Verticordia,hughanii
Micromyrtus minutiflora,Na,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,11485,Plantae,Magnoliopsida,Myrtaceae,Micromyrtus,minutiflora
Lepidium pseudopapillosum,Erect PepperNacress,Vulnerable,Na,Yes,Na,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,11548,Plantae,Magnoliopsida,Brassicaceae,Lepidium,pseudopapillosum
Olearia oliganthema,Na,Extinct,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,11592,Plantae,Magnoliopsida,Asteraceae,Olearia,oliganthema
Caladenia audasii,"McIvor SpiderNaorchid, Audas' SpiderNaorchid",Endangered,Na,Na,Na,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,11727,Plantae,Liliopsida,Orchidaceae,Caladenia,audasii
Eremophila resinosa,Resinous Eremophila,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,11735,Plantae,Magnoliopsida,Myoporaceae,Eremophila,resinosa
Sclerolaena napiformis,Turnip Copperburr,Endangered,Na,Yes,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,11742,Plantae,Magnoliopsida,Chenopodiaceae,Sclerolaena,napiformis
Rhizanthella slateri,Eastern Underground Orchid,Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,11768,Plantae,Liliopsida,Orchidaceae,Rhizanthella,slateri
Scaevola macrophylla,LargeNaflowered Scaevola,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,11806,Plantae,Magnoliopsida,Goodeniaceae,Scaevola,macrophylla
