Scientific Name,Common Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,ACI,CKI,CI,CSI,JBT,NFI,HMI,AAT,CMA,Listed SPRAT TaxonID,Kingdom,Class,Family,Genus,Species
Stylidium coroniforme subsp. coroniforme,"Wongan Hills Triggerplant, Wongan Triggerplant",Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,85016,Plantae,Magnoliopsida,Stylidiaceae,Stylidium,coroniforme
Stylidium coroniforme subsp. amblyphyllum,Na,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,85017,Plantae,Magnoliopsida,Stylidiaceae,Stylidium,coroniforme
Leucopogon sp. Ongerup (A.S. George 16682),Na,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,85018,Plantae,Magnoliopsida,Epacridaceae,Leucopogon,sp. Ongerup (A.S. George 16682)
Banksia catoglypta,Na,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,85021,Plantae,Magnoliopsida,Proteaceae,Banksia,catoglypta
Hypocalymma angustifolium subsp. Hutt River (S.Patrick 2982),Na,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,85023,Plantae,Magnoliopsida,Myrtaceae,Hypocalymma,angustifolium
Acacia woodmaniorum,Woodman's Wattle,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,85026,Plantae,Magnoliopsida,Fabaceae,Acacia,woodmaniorum
Callistemon megalongensis,Megalong Valley Bottlebrush,Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,85098,Plantae,Magnoliopsida,Myrtaceae,Callistemon,megalongensis
"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",Vulnerable,Yes,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,85104,Animalia,Mammalia,Phascolarctidae,Phascolarctos,"cinereus (combined populations of Qld, NSW and the ACT)"
Sphyrna lewini,Scalloped Hammerhead,Conservation Dependent,Na,Yes,Yes,Yes,Na,Na,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Na,Na,Yes,85267,Animalia,Chondrichthyes,Sphyrnidae,Sphyrna,lewini
Pommerhelix duralensis,Dural Land Snail,Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,85268,Animalia,Gastropoda,Camaenidae,Pommerhelix,duralensis
Pseudocharopa ledgbirdi,Mount Lidgbird Charopid Land Snail,Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,85279,Animalia,Gastropoda,Charopidae,Pseudocharopa,ledgbirdi
Lerista nevinae,Nevin's Slider,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,85296,Animalia,Reptilia,Scincidae,Lerista,nevinae
Poranthera petalifera,Mountain Poranthera,Vulnerable,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,85335,Plantae,Magnoliopsida,Euphorbiaceae,Poranthera,petalifera
Parvulastra vivipara,Tasmanian LiveNabearing Seastar,Vulnerable,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,85451,Animalia,Asteroidea,Asterinidae,Parvulastra,vivipara
Wollumbinia belli,"Bell's Turtle, Western Sawshelled Turtle, Namoi River Turtle, Bell's SawNashelled Turtle",Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,86071,Animalia,Reptilia,Chelidae,Wollumbinia,belli
Wollumbinia georgesi,"Georges' Snapping Turtle, Bellinger River Snapping Turtle, Georges Helmeted Turtle",Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,86072,Animalia,Reptilia,Chelidae,Wollumbinia,georgesi
Phyllodes imperialis smithersi,Pink Underwing Moth,Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,86084,Animalia,Insecta,Noctuidae,Phyllodes,imperialis
Atalaya brevialata,Na,Critically Endangered,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,86125,Plantae,Magnoliopsida,Sapindaceae,Atalaya,brevialata
Amytornis modestus obscurior,"Grey Range ThickNabilled Grasswren, ThickNabilled Grasswren (northNawest NSW)",Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,86183,Animalia,Aves,Maluridae,Amytornis,modestus
Pterostylis lepida,Halbury Greenhood,Endangered,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,86227,Plantae,Liliopsida,Orchidaceae,Pterostylis,lepida
Pterostylis mirabilis,Nodding Rufoushood,Vulnerable,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,86228,Plantae,Liliopsida,Orchidaceae,Pterostylis,mirabilis
Corunastylis sp. Charmhaven (NSW 896673),Wyong Midge Orchid 2,Critically Endangered,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,86263,Plantae,Liliopsida,Orchidaceae,Corunastylis,sp. Charmhaven (NSW 896673)
Prasophyllum laxum,Lax Leek Orchid,Critically Endangered,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,86264,Plantae,Liliopsida,Orchidaceae,Prasophyllum,laxum
Westralunio carteri,"Carter's Freshwater Mussel, Freshwater Mussel",Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,86266,Animalia,Bivalvia,Hyriidae,Westralunio,carteri
Amytornis merrotsyi merrotsyi,ShortNatailed Grasswren (Flinders Ranges),Vulnerable,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,86269,Animalia,Aves,Maluridae,Amytornis,merrotsyi
Amytornis merrotsyi pedleri,"Gawler Ranges ShortNatailed Grasswren, ShortNatailed Grasswren (Gawler Ranges)",Endangered,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,86270,Animalia,Aves,Maluridae,Amytornis,merrotsyi
Stylidium ensatum,a triggerplant,Endangered,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,86366,Plantae,Magnoliopsida,Stylidiaceae,Stylidium,ensatum
Limonium australe var. baudinii,Baudin's SeaNalavender,Vulnerable,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,86369,Plantae,Magnoliopsida,Plumbaginaceae,Limonium,australe
Limosa lapponica baueri,"BarNatailed Godwit (baueri), Western Alaskan BarNatailed Godwit",Vulnerable,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,86380,Animalia,Aves,Scolopacidae,Limosa,lapponica
Grevillea sp. Gillingarra (R.J.Cranfield 4087),Na,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,86383,Plantae,Magnoliopsida,Proteaceae,Grevillea,sp. Gillingarra (R.J.Cranfield 4087)
Hypocalymma sylvestre,Na,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,86384,Plantae,Magnoliopsida,Myrtaceae,Hypocalymma,sylvestre
"Leucopogon sp. Flynn (F.Hort, J.Hort & A.Lowrie 859)",Na,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,86385,Plantae,Magnoliopsida,Ericaceae,Leucopogon,"sp. Flynn (F.Hort, J.Hort & A.Lowrie 859)"
Paragoodia crenulata,Na,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,86387,Plantae,Magnoliopsida,Fabaceae,Paragoodia,crenulata
Androcalva perlaria,PearlNalike Androcalva,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,86388,Plantae,Magnoliopsida,Malvaceae,Androcalva,perlaria
Androcalva adenothalia,Na,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,86389,Plantae,Magnoliopsida,Malvaceae,Androcalva,adenothalia
