,Scientific_Name,Common_Name,Threatened_Status,Kingdom,Class,Family,Genus,Species
122,Rheodytes leukops,"Fitzroy River Turtle, Fitzroy Tortoise, Fitzroy Turtle, WhiteNaeyed River Diver",Vulnerable,Animalia,Reptilia,Chelidae,Rheodytes,leukops
123,Caretta caretta,Loggerhead Turtle,Endangered,Animalia,Reptilia,Cheloniidae,Caretta,caretta
124,Chelonia mydas,Green Turtle,Vulnerable,Animalia,Reptilia,Cheloniidae,Chelonia,mydas
125,Eretmochelys imbricata,Hawksbill Turtle,Vulnerable,Animalia,Reptilia,Cheloniidae,Eretmochelys,imbricata
126,Lepidochelys olivacea,"Olive Ridley Turtle, Pacific Ridley Turtle",Endangered,Animalia,Reptilia,Cheloniidae,Lepidochelys,olivacea
127,Dermochelys coriacea,"Leatherback Turtle, Leathery Turtle, Luth",Endangered,Animalia,Reptilia,Dermochelyidae,Dermochelys,coriacea
128,Cophixalus hosmeri,"Hosmer's Frog, Rattling NurseryNafrog",Critically Endangered,Animalia,Amphibia,Microhylidae,Cophixalus,hosmeri
129,Cophixalus mcdonaldi,"McDonald's Frog, Mt Elliot NurseryNafrog",Critically Endangered,Animalia,Amphibia,Microhylidae,Cophixalus,mcdonaldi
130,Cophixalus neglectus,"Neglected Frog, Bellenden Ker NurseryNafrog",Critically Endangered,Animalia,Amphibia,Microhylidae,Cophixalus,neglectus
131,Litoria rheocola,Common Mistfrog,Endangered,Animalia,Amphibia,Hylidae,Litoria,rheocola
132,Cophixalus concinnus,Elegant Frog,Critically Endangered,Animalia,Amphibia,Microhylidae,Cophixalus,concinnus
133,Litoria nannotis,"Waterfall Frog, Torrent Tree Frog",Endangered,Animalia,Amphibia,Hylidae,Litoria,nannotis
134,Litoria nyakalensis,"Mountain Mistfrog, Nyakala Frog",Critically Endangered,Animalia,Amphibia,Hylidae,Litoria,nyakalensis
135,Litoria olongburensis,Wallum Sedge Frog,Vulnerable,Animalia,Amphibia,Hylidae,Litoria,olongburensis
138,Litoria lorica,Armoured Mistfrog,Critically Endangered,Animalia,Amphibia,Hylidae,Litoria,lorica
