,Species,Common_Name,Category,Presence_Type,Location,Kingdom,Phylum,Class,Order,Family
938,Grevillea shiressii,,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
939,Grevillea sp. Gillingarra (R.J.Cranfield 4087),,Critically Endangered,Present,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
940,Grevillea thelemanniana,Spider Net Grevillea,Critically Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
941,Grevillea treueriana,"Mt Finke Grevillea, Scarlet Grevillea",Vulnerable,Endemic,SA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
942,Grevillea wilkinsonii,Tumut Grevillea,Endangered,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
943,Gudeoconcha sophiae magnifica,Magnificent Helicarionid Land Snail,Critically Endangered,Present,"AET, NSW",Animalia,Mollusca,Gastropoda,Pulmonata,Helicarionidae
944,Guichenotia seorsiflora,,Critically Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Sterculiaceae
945,Gymnobelideus leadbeateri,Leadbeater's Possum,Critically Endangered,Endemic,VIC,Animalia,Chordata,Mammalia,Diprotodonta,Petauridae
946,Gyrostemon reticulatus,Net-veined Gyrostemon,Critically Endangered,Extinct*,WA,Plantae,Magnoliophyta,Magnoliopsida,Batales,Gyrostemonaceae
947,Habenaria maccraithii,Whiskered Rein Orchid,Endangered,Endemic,QLD,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae
948,Hakea aculeata,Column Hakea,Vulnerable,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
949,Hakea archaeoides,,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
950,Hakea dohertyi,a shrub,Endangered,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
951,Hakea fraseri,"Gnarled Corkbark, Fraser's Hakea",Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
952,Hakea maconochieana,,Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
953,Hakea megalosperma,Lesueur Hakea,Vulnerable,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
954,Hakea pulvinifera,Lake Keepit Hakea,Endangered,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
955,Hakea trineura,Three-veined Hakea,Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
956,Halobaena caerulea,Blue Petrel,Vulnerable,Present,"AET, ANT, HI, NSW, OCE, SA, TAS, VIC, WA",Animalia,Chordata,Aves,Procellariiformes,Procellariidae
957,Haloragis exalata subsp. exalata,"Wingless Raspwort, Square Raspwort",Vulnerable,Present,"NSW, SA, VIC",Plantae,Magnoliophyta,Magnoliopsida,Haloragales,Haloragaceae
958,Haloragis exalata subsp. velutina,Tall Velvet Sea-berry,Vulnerable,Present,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Haloragales,Haloragaceae
959,Haloragis eyreana,Prickly Raspwort,Endangered,Endemic,SA,Plantae,Magnoliophyta,Magnoliopsida,Haloragales,Haloragaceae
960,Haloragis platycarpa,Broad-fruited Haloragis,Critically Endangered,Extinct,WA,Plantae,Magnoliophyta,Magnoliopsida,Haloragales,Haloragaceae
961,Haloragodendron lucasii,Hal,Endangered,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Haloragales,Haloragaceae
962,Heleioporus australiacus,Giant Burrowing Frog,Vulnerable,Present,"NSW, TER, VIC",Animalia,Chordata,Amphibia,Anura,Limnodynastidae
963,Helichrysum calvertianum,,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae
964,Helicteres macrothrix,,Endangered,Endemic,NT,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae
965,Hemiandra gardneri,Red Snakebush,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae
966,Hemiandra rutilans,"Sargents Snakebush, Colourful Snakebush",Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae
967,Hemigenia ramosissima,Branched Hemigenia,Critically Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae
968,Hemiphaga novaeseelandiae spadicea,"New Zealand Pigeon (Norfolk Island race), Norfolk Island New Zealand Pigeon",Extinct,Extinct,AET,Animalia,Chordata,Aves,Columbiformes,Columbidae
969,Hensmania chapmanii,Chapman's Hensmania,Vulnerable,Endemic,WA,Plantae,Magnoliophyta,Liliopsida,Liliales,Liliaceae
970,Hesperocolletes douglasi,"Douglas' Broad-headed Bee, Rottnest Bee",Critically Endangered,Present,WA,Animalia,Arthropoda,Insecta,Hymenoptera,Colletidae
971,Hexaspora pubescens,,Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Celastrales,Celastraceae
972,Hibbertia abyssus,Bandalup Buttercup,Critically Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae
973,Hibbertia basaltica,Basalt Guinea-flower,Endangered,Endemic,TAS,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae
974,Hibbertia crispula,Ooldea Guinea-flower,Vulnerable,Endemic,SA,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae
975,Hibbertia crispula,Ooldea Guinea-flower,Vulnerable,Present,WA,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae
976,Hibbertia humifusa subsp. debilis,Dergholm Guinea-flower,Vulnerable,Endemic,VIC,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae
977,Hibbertia humifusa subsp. erigens,Euroa Guinea-flower,Vulnerable,Endemic,VIC,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae
978,Hibbertia marginata,,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae
979,Hibbertia priceana,,Critically Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae
980,Hibbertia puberula subsp. glabrescens,,Critically Endangered,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae
981,Hibbertia sp. Toolbrunup (J.R.Wheeler 2504),,Critically Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae
982,Hibbertia spanantha,Julian's Hibbertia,Critically Endangered,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae
983,Hibbertia tenuis,,Critically Endangered,Endemic,SA,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae
984,Hibiscus brennanii,a shrub,Vulnerable,Endemic,NT,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae
985,Hibiscus cravenii,,Vulnerable,Endemic,NT,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae
986,Hibiscus insularis,Phillip Island Hibiscus,Critically Endangered,Endemic,"AET, NI",Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae
987,Hicksbeachia pinnatifolia,"Monkey Nut, Bopple Nut, Red Bopple, Red Bopple Nut, Red Nut, Beef Nut, Red Apple Nut, Red Boppel Nut, Ivory Silky Oak",Vulnerable,Present,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
988,Hipposideros inornatus,Arnhem Leaf-nosed Bat,Endangered,Present,NT,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae
989,Hipposideros semoni,"Semon's Leaf-nosed Bat, Greater Wart-nosed Horseshoe-bat",Vulnerable,Endemic,QLD,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae
990,Hirundapus caudacutus,White-throated Needletail,Vulnerable,Present,"ACT, NSW, QLD, SA, TAS, TER, VIC",Animalia,Chordata,Aves,Apodiformes,Apodidae
991,Homopholis belsonii,Belson's Panic,Vulnerable,Present,"NSW, QLD",Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae
992,Homoranthus bebo,,Critically Endangered,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae
993,Homoranthus darwinioides,,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae
994,Homoranthus decumbens,a shrub,Endangered,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae
995,Homoranthus lunatus,,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae
996,Homoranthus montanus,,Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae
997,Homoranthus porteri,,Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae
998,Homoranthus prolixus,,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae
999,Hoplocephalus bungaroides,Broad-headed Snake,Vulnerable,Endemic,NSW,Animalia,Chordata,Reptilia,Squamata,Elapidae
1000,Hoplocephalus bungaroides,Broad-headed Snake,Vulnerable,Present,TER,Animalia,Chordata,Reptilia,Squamata,Elapidae
1001,Hoplogonus bornemisszai,Bornemissza's Stag Beetle,Critically Endangered,Endemic,TAS,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae
1002,Hoplogonus simsoni,Simson's Stag Beetle,Vulnerable,Endemic,TAS,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae
1003,Hoplogonus vanderschoori,Vanderschoor's Stag Beetle,Vulnerable,Endemic,TAS,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae
1004,Hoplostethus atlanticus,"Orange Roughy, Deep-sea Perch, Red Roughy",Conservation Dependent,Present,"ANT, CSI, HI, NI, NSW, OCE, TAS",Animalia,Chordata,Actinopterygii,Beryciformes,Trachichthyidae
1005,Hoya australis subsp. oramicola,a vine,Vulnerable,Endemic,NT,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae
1006,Huperzia serrata,Water Tassel-fern,Extinct,Extinct,QLD,Plantae,Lycopodiophyta,Lycopodopiatae,Lycopodiales,Lycopodiaceae
1007,Hybanthus cymulosus,Ninghan Violet,Critically Endangered,Present,WA,Plantae,Magnoliophyta,Magnoliopsida,Violales,Violaceae
1008,Hydriastele costata,a palm,Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae
1009,Hymenophyllum lobbii,,Extinct,Extinct,QLD,Plantae,Polypodiophyta,Polypodiatae,Hymenophyllales,Hymenophyllaceae
1010,Hymenophyllum whitei,a filmy fern,Extinct,Extinct,QLD,Plantae,Polypodiophyta,Polypodiatae,Hymenophyllales,Hymenophyllaceae
1011,Hypocalymma angustifolium subsp. Hutt River (S.Patrick 2982),,Endangered,Present,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae
1012,Hypocalymma longifolium,Long-leaved Myrtle,Vulnerable,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae
1013,Hypocalymma sp. Cascade (R. Bruhn 20896),,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae
1014,Hypocalymma sylvestre,,Endangered,Present,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae
1015,Hypolepis dicksonioides,"Downy Ground-fern, Brake Fern, Ground Fern",Vulnerable,Endemic,"AET, NI",Plantae,Polypodiophyta,Polypodiatae,Dicksoniales,Dennstaedtiaceae
1016,Hypolepis distans,Scrambling Ground-fern,Endangered,Endemic,TAS,Plantae,Polypodiophyta,Polypodiatae,Dicksoniales,Dennstaedtiaceae
1017,Hypolimnus pedderensis,Lake Pedder Earthworm,Extinct,Endemic,TAS,Animalia,Annelida,Oligochaeta,Haplotaxida,Megascolecidae
1018,Hypotaenidia philippensis andrewsi,"Buff-banded Rail (Cocos (Keeling) Islands), Ayam Hutan",Endangered,Endemic,CKI,Animalia,Chordata,Aves,Gruiformes,Rallidae
1019,Hypotaenidia sylvestris,Lord Howe Woodhen,Endangered,Endemic,NSW,Animalia,Chordata,Aves,Gruiformes,Rallidae
1020,Hyridella glenelgensis,Glenelg Freshwater Mussel,Critically Endangered,Present,VIC,Animalia,Mollusca,Bivalvia,Unionida,Hyriidae
1021,Idiosoma nigrum,"Shield-backed Trapdoor Spider, Black Rugose Trapdoor Spider",Vulnerable,Endemic,WA,Animalia,Arthropoda,Arachnida,Araneae,Idiopidae
1022,Ileostylus micranthus,Mistletoe,Vulnerable,Endemic,"AET, NI",Plantae,Magnoliophyta,Magnoliopsida,Santalales,Loranthaceae
1023,Indigofera efoliata,,Endangered,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
1024,Irenepharsus trypherus,"Delicate Cress, Illawarra Irene",Endangered,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Capparales,Brassicaceae
1025,Isoglossa eranthemoides,Isoglossa,Endangered,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Acanthaceae
1026,Isoodon auratus auratus,Golden Bandicoot (mainland),Vulnerable,Present,"NSW, NT, SA, WA",Animalia,Chordata,Mammalia,Polyprotodonta,Peramelidae
1027,Isoodon auratus barrowensis,Golden Bandicoot (Barrow Island),Vulnerable,Endemic,WA,Animalia,Chordata,Mammalia,Polyprotodonta,Peramelidae
1028,Isoodon obesulus nauticus,Southern Brown Bandicoot (Nuyts Archipelago),Vulnerable,Endemic,SA,Animalia,Chordata,Mammalia,Polyprotodonta,Peramelidae
1029,Isoodon obesulus obesulus,"Southern Brown Bandicoot (eastern), Southern Brown Bandicoot (south-eastern)",Endangered,Present,"NSW, SA, TER, VIC",Animalia,Chordata,Mammalia,Polyprotodonta,Peramelidae
1030,Isopogon fletcheri,Fletcher's Drumsticks,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
1031,Isopogon robustus,Robust Coneflower,Critically Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
1032,Isopogon uncinatus,"Albany Cone Bush, Hook-leaf Isopogon",Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
1033,Ixodia achillaeoides subsp. arenicola,"Sand Ixodia, Ixodia",Vulnerable,Present,"SA, VIC",Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae
1034,Jacksonia pungens,Pungent Jacksonia,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
1035,Jacksonia quairading,"Quairading Jacksonia, Quairading Stinkwood",Endangered,Present,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
1036,Jacksonia velveta,Collie Jacksonia,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
1037,Kardomia granitica,a shrub,Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae
1038,Kelleria bogongensis,Kelleria,Vulnerable,Present,VIC,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Thymelaeaceae
1039,Kennedia glabrata,Northcliffe Kennedia,Vulnerable,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
1040,Kennedia lateritia,Augusta Kennedia,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
1041,Kennedia retrorsa,,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
1042,Kumonga exleyi,Cape Range Remipede,Vulnerable,Endemic,WA,Animalia,Arthropoda,Remipedia,Nectiopoda,Kumongidae
1043,Kunzea cambagei,,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae
1044,Kunzea ericifolia subsp. subulata,,Vulnerable,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae
1045,Kunzea rupestris,,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae
1046,Kunzea similis subsp. similis,,Critically Endangered,Present,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae
1047,Lachnagrostis adamsonii,"Adamson's Blown-grass, Adamson's Blowngrass",Endangered,Endemic,VIC,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae
1048,Lachnagrostis limitanea,"Spalding Blown Grass, Spalding Blowngrass",Endangered,Endemic,SA,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae
1049,Lagorchestes asomatus,"Kuluwarri, Central Hare-wallaby",Extinct,Extinct,"NT, WA",Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae
1050,Lagorchestes conspicillatus conspicillatus,Spectacled Hare-wallaby (Barrow Island),Vulnerable,Endemic,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae
1051,Lagorchestes hirsutus Central Australian subspecies,"Mala, Rufous Hare-Wallaby (Central Australia)",Endangered,Endemic,NT,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae
1052,Lagorchestes hirsutus Central Australian subspecies,"Mala, Rufous Hare-Wallaby (Central Australia)",Endangered,Present,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae
1053,Lagorchestes hirsutus bernieri,Rufous Hare-wallaby (Bernier Island),Vulnerable,Endemic,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae
1054,Lagorchestes hirsutus dorreae,Rufous Hare-wallaby (Dorre Island),Vulnerable,Endemic,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae
1055,Lagorchestes hirsutus hirsutus,"Rufous Hare-wallaby (south-western), Woorap",Extinct,Extinct,"NT, SA, WA",Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae
1056,Lagorchestes leporides,Eastern Hare-wallaby,Extinct,Extinct,"NSW, QLD, SA, VIC",Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae
1057,Lagostrophus fasciatus albipilis,Banded Hare-wallaby (mainland),Extinct,Extinct,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae
1058,Lagostrophus fasciatus fasciatus,"Banded Hare-wallaby, Merrnine, Marnine, Munning ",Vulnerable,Endemic,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae
1059,Lalage leucopyga leucopyga,Norfolk Island Long-tailed Triller,Extinct,Extinct,AET,Animalia,Chordata,Aves,Passeriformes,Campephagidae
1060,Lambertia echinata subsp. echinata,Prickly Honeysuckle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
1061,Lambertia echinata subsp. occidentalis,Western Prickly Honeysuckle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
1062,Lambertia fairallii,Fairall's Honeysuckle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
1063,Lambertia orbifolia,Roundleaf Honeysuckle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
1064,Lasiopetalum joyceae,,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Sterculiaceae
1065,Lasiopetalum longistamineum,,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Sterculiaceae
1066,Lasiopetalum pterocarpum,Wing-fruited Lasiopetalum,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Sterculiaceae
1067,Lasiopetalum rotundifolium,Round-leaf Lasiopetalum,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Sterculiaceae
1068,Lasiopetalum sp. Proston (J.A.Baker 17),Proston Lasiopetalum,Critically Endangered,Present,QLD,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Sterculiaceae
1069,Lasiorhinus krefftii,"Northern Hairy-nosed Wombat, Yaminon",Critically Endangered,Endemic,QLD,Animalia,Chordata,Mammalia,Diprotodonta,Vombatidae
1070,Lasiorhinus krefftii,"Northern Hairy-nosed Wombat, Yaminon",Critically Endangered,Present,NSW,Animalia,Chordata,Mammalia,Diprotodonta,Vombatidae
1071,Lastreopsis calantha,"Shield-fern, Shieldfern",Endangered,Endemic,"AET, NI",Plantae,Polypodiophyta,Polypodiatae,Aspidiales,Dryopteridaceae
1072,Lastreopsis walleri,a fern,Vulnerable,Endemic,QLD,Plantae,Polypodiophyta,Polypodiatae,Aspidiales,Dryopteridaceae
1073,Lathamus discolor,Swift Parrot,Critically Endangered,Present,"ACT, NSW, OCE, QLD, SA, TAS, TER, VIC",Animalia,Chordata,Aves,Psittaciformes,Psittacidae
1074,Latrobea colophona,,Critically Endangered,Present,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
1075,Lawrencia buchananensis,,Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae
1076,Lechenaultia chlorantha,Kalbarri Leschenaultia,Vulnerable,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Campanulales,Goodeniaceae
1077,Lechenaultia laricina,Scarlet Leschenaultia,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Campanulales,Goodeniaceae
1078,Leiocarpa gatesii,Wrinkled Buttons,Vulnerable,Endemic,VIC,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae
1079,Leionema equestre,Kangaroo Island Phebalium,Endangered,Endemic,SA,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae
1080,Leionema lachnaeoides,,Endangered,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae
1081,Leionema obtusifolium,,Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae
1082,Leionema ralstonii,,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae
1083,Leionema sympetalum,Rylstone Bell,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae
1084,Leioproctus douglasiellus,a short-tongued bee,Critically Endangered,Endemic,WA,Animalia,Arthropoda,Insecta,Hymenoptera,Colletidae
1085,Leipoa ocellata,Malleefowl,Vulnerable,Present,"NSW, NT, SA, VIC, WA",Animalia,Chordata,Aves,Galliformes,Megapodiidae
1086,Lemmaphyllum accedens,,Extinct,Extinct,QLD,Plantae,Polypodiophyta,Polypodiatae,Polypodiales,Polypodiaceae
1087,Lepidium aschersonii,Spiny Pepper-cress,Vulnerable,Present,"NSW, VIC, WA",Plantae,Magnoliophyta,Magnoliopsida,Capparales,Brassicaceae
1088,Lepidium drummondii,Drummond's Lepidium,Extinct,Extinct,WA,Plantae,Magnoliophyta,Magnoliopsida,Capparales,Brassicaceae
1089,Lepidium ginninderrense,Ginninderra Peppercress,Vulnerable,Endemic,ACT,Plantae,Magnoliophyta,Magnoliopsida,Capparales,Brassicaceae
1090,Lepidium hyssopifolium,"Basalt Pepper-cress, Peppercress, Rubble Pepper-cress, Pepperweed",Endangered,Present,"ACT, NSW, QLD, TAS, VIC",Plantae,Magnoliophyta,Magnoliopsida,Capparales,Brassicaceae
1091,Lepidium monoplocoides,Winged Pepper-cress,Endangered,Present,"NSW, QLD, SA, VIC",Plantae,Magnoliophyta,Magnoliopsida,Capparales,Brassicaceae
1092,Lepidium peregrinum,Wandering Pepper-cress,Endangered,Present,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Capparales,Brassicaceae
1093,Lepidium pseudopapillosum,Erect Pepper-cress,Vulnerable,Present,"NSW, SA, VIC",Plantae,Magnoliophyta,Magnoliopsida,Capparales,Brassicaceae
1094,Lepidochelys olivacea,"Olive Ridley Turtle, Pacific Ridley Turtle",Endangered,Present,"ACR, CI, CKI, CSI, NSW, NT, OCE, QLD, WA",Animalia,Chordata,Reptilia,Testudines,Cheloniidae
1095,Lepidodactylus listeri,"Christmas Island Gecko, Lister's Gecko",Critically Endangered,Endemic,"AET, CI",Animalia,Chordata,Reptilia,Squamata,Gekkonidae
1096,Lepidorrhachis mooreana,"Little Mountain Palm, Moorei Palm",Critically Endangered,Present,NSW,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae
1097,Lepidosperma rostratum,Beaked Lepidosperma,Endangered,Endemic,WA,Plantae,Magnoliophyta,Liliopsida,Cyperales,Cyperaceae
1098,Leporillus apicalis,"Lesser Stick-nest Rat,Tjooyalpi, White-tailed Stick-nest Rat",Extinct,Extinct,"NSW, NT, SA, VIC, WA",Animalia,Chordata,Mammalia,Rodentia,Muridae
1099,Leporillus conditor,"Wopilkara, Greater Stick-nest Rat",Vulnerable,Present,"NSW, SA, WA",Animalia,Chordata,Mammalia,Rodentia,Muridae
1100,Leptomeria dielsiana,Diels' Currant Bush,Vulnerable,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Santalales,Santalaceae
1101,Leptospermum deanei,Deane's Tea-tree,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae
1102,Leptospermum thompsonii,Monga Tea-tree,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae
1103,Lerista allanae,"Allan's Lerista, Retro Slider",Endangered,Endemic,QLD,Animalia,Chordata,Reptilia,Squamata,Scincidae
1104,Lerista nevinae,Nevin's Slider,Endangered,Present,WA,Animalia,Chordata,Reptilia,Squamata,Scincidae
1105,Lerista vittata,"Mount Cooper Striped Skink, Mount Cooper Striped Lerista",Vulnerable,Endemic,QLD,Animalia,Chordata,Reptilia,Squamata,Scincidae
1106,Leucocarbo atriceps nivalis,"Imperial Shag (Heard Island), Heard Shag",Vulnerable,Endemic,AET,Animalia,Chordata,Aves,Pelecaniformes,Phalacrocoracidae
1107,Leucocarbo atriceps purpurascens,Imperial Shag (Macquarie Island),Vulnerable,Endemic,AET,Animalia,Chordata,Aves,Pelecaniformes,Phalacrocoracidae
1108,Leucocarbo atriceps purpurascens,Imperial Shag (Macquarie Island),Vulnerable,Present,TAS,Animalia,Chordata,Aves,Pelecaniformes,Phalacrocoracidae
1109,Leucochrysum albicans subsp. tricolor,"Hoary Sunray, Grassland Paper-daisy",Endangered,Present,"ACT, NSW, TAS, VIC",Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae
1110,Leucopogon confertus,Torrington Beard-heath,Endangered,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae
1111,Leucopogon cryptanthus,Small-flowered Leucopogon,Extinct,Extinct,WA,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae
1112,Leucopogon exolasius,Woronora Beard-heath,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae
1113,Leucopogon gnaphalioides,Stirling Range Beard Heath,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae
