,Species,Common_Name,Category,Presence_Type,Location,Kingdom,Phylum,Class,Order,Family
57,Acacia praetermissa,a shrub,Vulnerable,Endemic,NT,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
58,Acacia prismifolia,Diels' Wattle,Extinct,Extinct,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
59,Acacia pubescens,"Downy Wattle, Hairy Stemmed Wattle",Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
60,Acacia pubifolia,Velvet Wattle,Vulnerable,Present,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
61,Acacia purpureopetala,Purple-flowered Wattle,Critically Endangered,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
62,Acacia pycnostachya,Bolivia Wattle,Vulnerable,Present,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
63,Acacia pygmaea,Dwarf Rock Wattle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
64,Acacia recurvata,Recurved Wattle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
65,Acacia rhamphophylla,Kundip Wattle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
66,Acacia rhetinocarpa,"Neat Wattle, Resin Wattle (SA)",Vulnerable,Endemic,SA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
67,Acacia ruppii,Rupp's Wattle,Endangered,Present,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
68,Acacia sciophanes,"Wundowlin Wattle, Ghost Wattle",Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
69,Acacia spilleriana,Spiller's Wattle,Endangered,Endemic,SA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
70,Acacia splendens,"Splendid Wattle, Dandaragan Wattle",Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
71,Acacia subflexuosa subsp. capillata,Hairy-stemmed Zig-Zag Wattle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
72,Acacia terminalis subsp. terminalis MS,Sunshine Wattle (Sydney region),Endangered,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
73,Acacia undoolyana,"Undoolya Wattle, Sickle-leaf Wattle",Vulnerable,Endemic,NT,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
74,Acacia unguicula,a shrub,Critically Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
75,Acacia vassalii,Vassal's Wattle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
76,Acacia volubilis,"Tangled Wattle, Tangle Wattle",Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
77,Acacia whibleyana,"Whibley Wattle, Whibley's Wattle",Endangered,Endemic,SA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
78,Acacia wilsonii,Wilson's Wattle,Endangered,Present,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
79,Acacia woodmaniorum,Woodman's Wattle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
80,Acanthiza iredalei rosinae,Slender-billed Thornbill (Gulf St Vincent),Vulnerable,Present,SA,Animalia,Chordata,Aves,Passeriformes,Pardalotidae
81,Acanthiza pusilla archibaldi,"King Island Brown Thornbill, Brown Thornbill (King Island)",Endangered,Endemic,TAS,Animalia,Chordata,Aves,Passeriformes,Acanthizidae
82,Acanthocladium dockeri,"Spiny Everlasting, Spiny Daisy",Critically Endangered,Extinct,NSW,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae
83,Acanthocladium dockeri,"Spiny Everlasting, Spiny Daisy",Critically Endangered,Present,SA,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae
84,Acanthophis hawkei,Plains Death Adder,Vulnerable,Present,"NT, QLD, WA",Animalia,Chordata,Reptilia,Squamata,Elapidae
85,Acanthornis magna greeniana,"King Island Scrubtit, Scrubtit (King Island)",Critically Endangered,Endemic,TAS,Animalia,Chordata,Aves,Passeriformes,Pardalotidae
86,Accipiter hiogaster natalis,Christmas Island Goshawk,Endangered,Endemic,"AET, CI",Animalia,Chordata,Aves,Falconiformes,Accipitridae
87,Achyranthes arborescens,"Chaff Tree, Soft-wood",Critically Endangered,Endemic,"AET, NI",Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae
88,Achyranthes margaretarum,Phillip Island Chaffy Tree,Critically Endangered,Endemic,"AET, NI",Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae
89,Acianthus ledwardii,,Extinct,Extinct,QLD,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae
90,Acriopsis emarginata,Pale Chandelier Orchid,Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae
91,Acronychia littoralis,Scented Acronychia,Endangered,Present,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae
92,Acrophyllum australe,,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Cunoniaceae
93,Actephila foetida,,Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae
94,Actinotus schwarzii,Desert Flannel-flower,Vulnerable,Endemic,NT,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae
95,Adclarkia cameroni,Brigalow Woodland Snail,Endangered,Present,QLD,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae
96,Adclarkia dawsonensis,"Boggomoss Snail, Dawson River Snail, Dawson Valley Snail",Critically Endangered,Endemic,QLD,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae
97,Adclarkia dulacca,Dulacca Woodland Snail,Endangered,Present,QLD,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae
98,Adenanthos dobagii,Fitzgerald Woollybush,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
99,Adenanthos ellipticus,Oval-leaf Adenanthos,Vulnerable,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
100,Adenanthos eyrei,Toolinna Adenanthos,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
101,Adenanthos pungens subsp. effusus,Sprawling Spiky Adenanthos,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
102,Adenanthos pungens subsp. pungens,Spiky Adenanthos,Vulnerable,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
103,Adenanthos velutinus,Velvet Woollybush,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
104,Advena campbellii,Campbell's Helicarionid Land Snail,Critically Endangered,Present,"AET, NI",Animalia,Mollusca,Gastropoda,Pulmonata,Helicarionidae
105,Aipysurus apraefrontalis,Short-nosed Seasnake,Critically Endangered,Present,"ACR, OCE, WA",Animalia,Chordata,Reptilia,Squamata,Hydrophiidae
106,Aipysurus foliosquama,Leaf-scaled Seasnake,Critically Endangered,Present,"ACR, OCE, WA",Animalia,Chordata,Reptilia,Squamata,Hydrophiidae
107,Alectryon ramiflorus,Isis Tamarind,Endangered,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae
108,Allocasuarina defungens,Dwarf Heath Casuarina,Endangered,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae
109,Allocasuarina emuina,"Emu Mountain Sheoak, Mt Emu She-oak",Endangered,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae
110,Allocasuarina fibrosa,Woolly Sheoak,Vulnerable,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae
111,Allocasuarina glareicola,,Endangered,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae
112,Allocasuarina portuensis,Nielsen Park She-oak,Endangered,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae
113,Allocasuarina robusta,Mount Compass Oak-bush,Endangered,Endemic,SA,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae
114,Allocasuarina simulans,Nabiac Casuarina,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae
115,Allocasuarina thalassoscopica,,Endangered,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae
116,Allocasuarina thalassoscopica,,Endangered,Present,NSW,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae
117,Allocasuarina tortiramula,Twisted Sheoak,Vulnerable,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae
118,Alloxylon flammeum,"Red Silky Oak, Queensland Waratah, Tree Waratah",Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae
119,Almaleea cambagei,Torrington Pea,Vulnerable,Present,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
120,Ammobium craspedioides,Yass Daisy,Vulnerable,Present,"ACT, NSW",Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae
121,Amperea xiphoclada var. pedicellata,,Extinct,Extinct,NSW,Plantae,Magnoliophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae
