,Unnamed: 0,Scientific_Name,Common_Name,Threatened_Status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Kingdom,Class,Family,Genus,Species
16,16,Notomys mordax,"Darling Downs HoppingNamouse, Payi",Extinct,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Mammalia,Muridae,Notomys,mordax
17,17,Pseudomys australis,"Plains Rat, Palyoora, Plains Mouse",Vulnerable,Na,Yes,Yes,Yes,Yes,Na,Na,Yes,Animalia,Mammalia,Muridae,Pseudomys,australis
21,21,Notomys fuscus,"Dusky HoppingNamouse, Wilkiniti",Vulnerable,Na,Yes,Yes,Yes,Yes,Na,Na,Na,Animalia,Mammalia,Muridae,Notomys,fuscus
22,22,Notomys longicaudatus,"LongNatailed HoppingNamouse, Koolawa, Talamba",Extinct,Na,Yes,Yes,Na,Yes,Na,Na,Yes,Animalia,Mammalia,Muridae,Notomys,longicaudatus
23,23,Conilurus albipes,"WhiteNafooted RabbitNarat, Parroo, WhiteNafooted TreeNarat",Extinct,Na,Yes,Na,Yes,Yes,Na,Yes,Na,Animalia,Mammalia,Muridae,Conilurus,albipes
25,25,Leporillus apicalis,"Lesser StickNanest Rat,Tjooyalpi, WhiteNatailed StickNanest Rat",Extinct,Na,Yes,Yes,Na,Yes,Na,Yes,Yes,Animalia,Mammalia,Muridae,Leporillus,apicalis
26,26,Leporillus conditor,"Wopilkara, Greater StickNanest Rat",Vulnerable,Na,Yes,Na,Na,Yes,Na,Na,Yes,Animalia,Mammalia,Muridae,Leporillus,conditor
29,29,Chalinolobus dwyeri,"LargeNaeared Pied Bat, Large Pied Bat",Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Mammalia,Vespertilionidae,Chalinolobus,dwyeri
31,31,Pteropus poliocephalus,GreyNaheaded FlyingNafox,Vulnerable,Yes,Yes,Na,Yes,Yes,Na,Yes,Na,Animalia,Mammalia,Pteropodidae,Pteropus,poliocephalus
33,33,Lasiorhinus krefftii,"Northern HairyNanosed Wombat, Yaminon",Critically Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Mammalia,Vombatidae,Lasiorhinus,krefftii
34,34,Bettongia tropica,Northern Bettong,Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Mammalia,Potoroidae,Bettongia,tropica
36,36,Potorous longipes,LongNafooted Potoroo,Endangered,Na,Yes,Na,Na,Na,Na,Yes,Na,Animalia,Mammalia,Potoroidae,Potorous,longipes
37,37,Petrogale penicillata,BrushNatailed RockNawallaby,Vulnerable,Yes,Yes,Na,Yes,Na,Na,Yes,Na,Animalia,Mammalia,Macropodidae,Petrogale,penicillata
40,40,Onychogalea fraenata,"Bridled NailNatail Wallaby, Bridled Nailtail Wallaby",Endangered,Na,Yes,Na,Yes,Yes,Na,Yes,Na,Animalia,Mammalia,Macropodidae,Onychogalea,fraenata
41,41,Onychogalea lunata,"Crescent Nailtail Wallaby, Tjawalpa, Wurrung",Extinct,Na,Yes,Yes,Na,Yes,Na,Na,Yes,Animalia,Mammalia,Macropodidae,Onychogalea,lunata
43,43,Lagorchestes leporides,Eastern HareNawallaby,Extinct,Na,Yes,Na,Yes,Yes,Na,Yes,Na,Animalia,Mammalia,Macropodidae,Lagorchestes,leporides
44,44,Petauroides volans,Greater Glider,Vulnerable,Yes,Yes,Na,Yes,Na,Na,Yes,Na,Animalia,Mammalia,Petauridae,Petauroides,volans
45,45,Burramys parvus,Mountain PygmyNapossum,Endangered,Na,Yes,Na,Na,Na,Na,Yes,Na,Animalia,Mammalia,Burramyidae,Burramys,parvus
48,48,Macrotis lagotis,Greater Bilby,Vulnerable,Na,Yes,Yes,Yes,Yes,Na,Na,Yes,Animalia,Mammalia,Thylacomyidae,Macrotis,lagotis
51,51,Myrmecobius fasciatus,Numbat,Endangered,Na,Yes,Yes,Na,Yes,Na,Na,Yes,Animalia,Mammalia,Myrmecobiidae,Myrmecobius,fasciatus
52,52,Chaeropus ecaudatus,"PigNafooted Bandicoot, Kanjilpa, Wilalya",Extinct,Na,Yes,Yes,Na,Yes,Na,Yes,Yes,Animalia,Mammalia,Peramelidae,Chaeropus,ecaudatus
57,57,Phascogale calura,"RedNatailed Phascogale, RedNatailed Wambenger, Kenngoor",Vulnerable,Na,Yes,Yes,Na,Yes,Na,Yes,Yes,Animalia,Mammalia,Dasyuridae,Phascogale,calura
59,59,Dasyurus geoffroii,"Chuditch, Western Quoll",Vulnerable,Na,Yes,Yes,Yes,Yes,Na,Na,Yes,Animalia,Mammalia,Dasyuridae,Dasyurus,geoffroii
61,61,Dasyurus viverrinus,"Eastern Quoll, Luaner",Endangered,Na,Yes,Na,Na,Yes,Yes,Yes,Na,Animalia,Mammalia,Dasyuridae,Dasyurus,viverrinus
66,66,Manorina melanotis,BlackNaeared Miner,Endangered,Na,Yes,Na,Na,Yes,Na,Yes,Na,Animalia,Aves,Meliphagidae,Manorina,melanotis
67,67,Grantiella picta,Painted Honeyeater,Vulnerable,Yes,Yes,Yes,Yes,Yes,Na,Yes,Na,Animalia,Aves,Meliphagidae,Grantiella,picta
69,69,Dasyornis brachypterus,Eastern Bristlebird,Endangered,Na,Yes,Na,Yes,Na,Na,Yes,Na,Animalia,Aves,Pardalotidae,Dasyornis,brachypterus
72,72,Pachycephala rufogularis,RedNalored Whistler,Vulnerable,Na,Yes,Na,Na,Yes,Na,Yes,Na,Animalia,Aves,Pachycephalidae,Pachycephala,rufogularis
75,75,Atrichornis rufescens,Rufous ScrubNabird,Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Aves,Atrichornithidae,Atrichornis,rufescens
76,76,Hirundapus caudacutus,WhiteNathroated Needletail,Vulnerable,Yes,Yes,Na,Yes,Yes,Yes,Yes,Na,Animalia,Aves,Apodidae,Hirundapus,caudacutus
78,78,Psephotus pulcherrimus,Paradise Parrot,Extinct,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Aves,Psittacidae,Psephotus,pulcherrimus
79,79,Polytelis swainsonii,Superb Parrot,Vulnerable,Yes,Yes,Na,Na,Na,Na,Yes,Na,Animalia,Aves,Psittacidae,Polytelis,swainsonii
80,80,Lathamus discolor,Swift Parrot,Critically Endangered,Yes,Yes,Na,Yes,Yes,Yes,Yes,Na,Animalia,Aves,Psittacidae,Lathamus,discolor
81,81,Neophema chrysogaster,OrangeNabellied Parrot,Critically Endangered,Na,Yes,Na,Na,Yes,Yes,Yes,Na,Animalia,Aves,Psittacidae,Neophema,chrysogaster
84,84,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",Critically Endangered,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Scolopacidae,Numenius,madagascariensis
85,85,Calidris canutus,"Red Knot, Knot",Endangered,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Scolopacidae,Calidris,canutus
86,86,Calidris ferruginea,Curlew Sandpiper,Critically Endangered,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Scolopacidae,Calidris,ferruginea
87,87,Calidris tenuirostris,Great Knot,Critically Endangered,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Scolopacidae,Calidris,tenuirostris
88,88,Charadrius leschenaultii,"Greater Sand Plover, Large Sand Plover",Vulnerable,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Charadriidae,Charadrius,leschenaultii
89,89,Charadrius mongolus,"Lesser Sand Plover, Mongolian Plover",Endangered,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Charadriidae,Charadrius,mongolus
90,90,Pedionomus torquatus,PlainsNawanderer,Critically Endangered,Na,Yes,Yes,Yes,Yes,Na,Yes,Na,Animalia,Aves,Pedionomidae,Pedionomus,torquatus
91,91,Turnix melanogaster,BlackNabreasted ButtonNaquail,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Aves,Turnicidae,Turnix,melanogaster
92,92,Falco hypoleucos,Grey Falcon,Vulnerable,Yes,Yes,Yes,Yes,Yes,Na,Yes,Yes,Animalia,Aves,Falconidae,Falco,hypoleucos
93,93,Leipoa ocellata,Malleefowl,Vulnerable,Na,Yes,Yes,Na,Yes,Na,Yes,Yes,Animalia,Aves,Megapodiidae,Leipoa,ocellata
94,94,Erythrotriorchis radiatus,Red Goshawk,Vulnerable,Na,Yes,Yes,Yes,Na,Na,Na,Yes,Animalia,Aves,Accipitridae,Erythrotriorchis,radiatus
95,95,Botaurus poiciloptilus,Australasian Bittern,Endangered,Yes,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Ardeidae,Botaurus,poiciloptilus
98,98,Halobaena caerulea,Blue Petrel,Vulnerable,Na,Yes,Na,Na,Yes,Yes,Yes,Yes,Animalia,Aves,Procellariidae,Halobaena,caerulea
99,99,Macronectes giganteus,"Southern GiantNaPetrel, Southern Giant Petrel",Endangered,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Procellariidae,Macronectes,giganteus
100,100,Macronectes halli,Northern Giant Petrel,Vulnerable,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Procellariidae,Macronectes,halli
101,101,Phoebetria fusca,Sooty Albatross,Vulnerable,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Diomedeidae,Phoebetria,fusca
104,104,Hoplocephalus bungaroides,BroadNaheaded Snake,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Reptilia,Elapidae,Hoplocephalus,bungaroides
111,111,Egernia rugosa,Yakka Skink,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Reptilia,Scincidae,Egernia,rugosa
116,116,Delma impar,"Striped Legless Lizard, Striped SnakeNalizard",Vulnerable,Yes,Yes,Na,Na,Yes,Na,Yes,Na,Animalia,Reptilia,Pygopodidae,Delma,impar
117,117,Delma torquata,"Adorned Delma, Collared Delma",Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Reptilia,Pygopodidae,Delma,torquata
118,118,Aprasia parapulchella,"PinkNatailed WormNalizard, PinkNatailed Legless Lizard",Vulnerable,Yes,Yes,Na,Na,Na,Na,Yes,Na,Animalia,Reptilia,Pygopodidae,Aprasia,parapulchella
123,123,Caretta caretta,Loggerhead Turtle,Endangered,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Reptilia,Cheloniidae,Caretta,caretta
124,124,Chelonia mydas,Green Turtle,Vulnerable,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Reptilia,Cheloniidae,Chelonia,mydas
125,125,Eretmochelys imbricata,Hawksbill Turtle,Vulnerable,Na,Yes,Yes,Yes,Na,Yes,Yes,Yes,Animalia,Reptilia,Cheloniidae,Eretmochelys,imbricata
126,126,Lepidochelys olivacea,"Olive Ridley Turtle, Pacific Ridley Turtle",Endangered,Na,Yes,Yes,Yes,Na,Na,Na,Yes,Animalia,Reptilia,Cheloniidae,Lepidochelys,olivacea
127,127,Dermochelys coriacea,"Leatherback Turtle, Leathery Turtle, Luth",Endangered,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Reptilia,Dermochelyidae,Dermochelys,coriacea
135,135,Litoria olongburensis,Wallum Sedge Frog,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Amphibia,Hylidae,Litoria,olongburensis
136,136,Litoria piperata,Peppered Tree Frog,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Amphibia,Hylidae,Litoria,piperata
137,137,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",Vulnerable,Yes,Yes,Na,Na,Yes,Yes,Yes,Na,Animalia,Amphibia,Hylidae,Litoria,raniformis
139,139,Litoria booroolongensis,Booroolong Frog,Endangered,Yes,Yes,Na,Na,Na,Na,Yes,Na,Animalia,Amphibia,Hylidae,Litoria,booroolongensis
